"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomeinMetPackages2"	"{A3FCB40F-436A-4ed6-A392-97390E805190}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijndomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K01A"	"{90CF3F14-6F28-45ef-800A-F9EBFB7EFBEB}"	""	""	""	""	"K 01A"	"Definitie K01A etc."	"Gebruik K01A etc."	"K 01A"	"Definitie K01A etc."	"Gebruik K01A etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K01A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K01B"	"{96FCBF24-15C8-4159-A6FB-DF1E186B1C23}"	""	""	""	""	"K 01B"	"Definitie K01B etc."	"Gebruik K01B etc."	"K 01B"	"Definitie K01B etc."	"Gebruik K01B etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K01B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K02A"	"{DFFD9EC1-066A-4ca4-9B62-5C494E7203AF}"	""	""	""	""	"K 02A"	"Definitie K02A etc."	"Gebruik K02A etc."	"K 02A"	"Definitie K02A etc."	"Gebruik K02A etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K02A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K02B"	"{F59AA6C9-000F-44fd-AB70-F27B31BAC62F}"	""	""	""	""	"K 02B"	"Definitie K02B etc."	"Gebruik K02B etc."	"K 02B"	"Definitie K02B etc."	"Gebruik K02B etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K02B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K03A"	"{EEB57B91-7E2C-48a7-81D6-DE46444F89EF}"	""	""	""	""	"K 03A"	"Definitie K03A etc."	"Gebruik K03A etc."	"K 03A"	"Definitie K03A etc."	"Gebruik K03A etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K03A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K03B"	"{0FC3A8F0-C267-46d1-875E-DF7A406DD4EA}"	""	""	""	""	"K 03B"	"Definitie K03B etc."	"Gebruik K03B etc."	"K 03B"	"Definitie K03B etc."	"Gebruik K03B etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K03B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K05A"	"{12F270D3-B349-41a5-85F0-69A46FC542B6}"	""	""	""	""	"K 05A"	"Definitie K05A etc."	"Gebruik K05A etc."	"K 05A"	"Definitie K05A etc."	"Gebruik K05A etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K05A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"K05B"	"{45B8501B-19B1-4a7e-93E4-15B7DC5BC3AB}"	""	""	""	""	"K 05B"	"Definitie K05B etc."	"Gebruik K05B etc."	"K 05B"	"Definitie K05B etc."	"Gebruik K05B etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K05B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetPackages2"	"Heeft05"	"{74CA5391-5BEA-46c1-AB19-0A23EB9418F9}"	""	""	""	""	"Heeft 05"	"Definitie Heeft05 (associatieklasse) etc."	"Gebruik Heeft05 (associatieklasse) etc."	"Heeft 05"	"Definitie Heeft05 (associatieklasse) etc."	"Gebruik Heeft05 (associatieklasse) etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijnanderdomein#"	"Heeft05"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
