"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomeinMetUriTags2"	"{036B5571-8BE4-48c6-AE36-F36CE7C5E1BD}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijndomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"Heeft27b"	"{4DF5114B-D8FB-45f9-8DCD-766554D5133A}"	""	""	""	""	"Heeft 27b"	"Definitie Heeft27b (associatieklasse) etc."	"Gebruik Heeft27b (associatieklasse) etc."	"Heeft 27b"	"Definitie Heeft27b (associatieklasse) etc."	"Gebruik Heeft27b (associatieklasse) etc."	""	""	""	""	""	""	""	"true"	"https://extern.domein#"	"Heeft27b"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"Heeft07b"	"{0BB5DB6E-F9E9-44d5-9AD2-75F32331B76F}"	""	""	""	""	"Heeft 07b"	"Definitie Heeft07b (associatieklasse) etc."	"Gebruik Heeft07b (associatieklasse) etc."	"Heeft 07b"	"Definitie Heeft07b (associatieklasse) etc."	"Gebruik Heeft07b (associatieklasse) etc."	""	""	""	""	""	""	""	"true"	"https://extern.domein#"	"Heeft07b"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"Heeft27"	"{279047B0-9D4E-408c-B219-74754D4B894F}"	""	""	""	""	"Heeft 27"	"Definitie Heeft27 (associatieklasse) etc."	"Gebruik Heeft27 (associatieklasse) etc."	"Heeft 27"	"Definitie Heeft27 (associatieklasse) etc."	"Gebruik Heeft27 (associatieklasse) etc."	""	""	""	""	""	""	""	"true"	"https://extern.domein#"	"Heeft27"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"K27"	"{90BDDBC5-B218-4123-8F4A-21012ACFA005}"	""	""	""	""	"K 27"	"Definitie K27 etc."	"Gebruik K27 etc."	"K 27"	"Definitie K27 etc."	"Gebruik K27 etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K27"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"K23"	"{111EDC77-43BF-4bb1-8B4E-2502912360DD}"	""	""	""	""	"K 23"	"Definitie K23 etc."	"Gebruik K23 etc."	"K 23"	"Definitie K23 etc."	"Gebruik K23 etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K23"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"K22"	"{2BAA16B6-8FA0-4424-B715-3E47B3BB6B9C}"	""	""	""	""	"K 22"	"Definitie K22 etc."	"Gebruik K22 etc."	"K 22"	"Definitie K22 etc."	"Gebruik K22 etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K22"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"K21"	"{DDE3E56F-9D2E-4dc9-9B8B-7009916F3F54}"	""	""	""	""	"K 21"	"Definitie K21 etc."	"Gebruik K21 etc."	"K 21"	"Definitie K21 etc."	"Gebruik K21 etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K21"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"Heeft26"	"{85C4502F-7DDF-4d5d-AE90-29A6AB480AF8}"	""	""	""	""	"Heeft 26"	"Definitie Heeft26 (associatieklasse) etc."	"Gebruik Heeft26 (associatieklasse) etc."	"Heeft 26"	"Definitie Heeft26 (associatieklasse) etc."	"Gebruik Heeft26 (associatieklasse) etc."	""	""	""	""	""	""	""	"true"	"https://extern.domein#"	"Heeft26"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"K26"	"{816C7691-A3DE-4275-93DF-7D8DFF87EBA1}"	""	""	""	""	"K 26"	"Definitie K26 etc."	"Gebruik K26 etc."	"K 26"	"Definitie K26 etc."	"Gebruik K26 etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K26"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"Heeft25"	"{CF9B73A2-3C96-43c5-827D-63DB6321686D}"	""	""	""	""	"Heeft 25"	"Definitie Heeft25 (associatieklasse) etc."	"Gebruik Heeft25 (associatieklasse) etc."	"Heeft 25"	"Definitie Heeft25 (associatieklasse) etc."	"Gebruik Heeft25 (associatieklasse) etc."	""	""	""	""	""	""	""	"true"	"https://extern.domein#"	"Heeft25"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"K25"	"{AFE4FF60-17A3-4fa7-A0EC-7F014CA4AF81}"	""	""	""	""	"K 25"	"Definitie K25 etc."	"Gebruik K25 etc."	"K 25"	"Definitie K25 etc."	"Gebruik K25 etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K25"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"Heeft07"	"{7DC49403-03A2-4515-9801-B8FE82C988EC}"	""	""	""	""	"Heeft 07"	"Definitie Heeft07 (associatieklasse) etc."	"Gebruik Heeft07 (associatieklasse) etc."	"Heeft 07"	"Definitie Heeft07 (associatieklasse) etc."	"Gebruik Heeft07 (associatieklasse) etc."	""	""	""	""	""	""	""	"true"	"https://extern.domein#"	"Heeft07"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"K07B"	"{91888089-F2F2-4ad9-8BBC-1237A43D0C20}"	""	""	""	""	"K 07B"	"Definitie K07B etc."	"Gebruik K07B etc."	"K 07B"	"Definitie K07B etc."	"Gebruik K07B etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"K07A"	"{8A9FB4B6-81C0-4ed5-BE82-1BA86C50EB04}"	""	""	""	""	"K 07A"	"Definitie K07A etc."	"Gebruik K07A etc."	"K 07A"	"Definitie K07A etc."	"Gebruik K07A etc."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"K07A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomeinMetUriTags2"	"Heeft06"	"{0381EB3B-C9D0-4aa7-8869-1459B424C389}"	""	""	""	""	"Heeft 06"	"Definitie Heeft06 (associatieklasse) etc."	"Gebruik Heeft06 (associatieklasse) etc."	"Heeft 06"	"Definitie Heeft06 (associatieklasse) etc."	"Gebruik Heeft06 (associatieklasse) etc."	""	""	""	""	""	""	""	"true"	"https://extern.domein#"	"Heeft06"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
