"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"MijnDomein"	"{A3FCB40F-436A-4ed6-A392-97390E805190}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mijndomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"MijnDomein"	"01A"	"{90CF3F14-6F28-45ef-800A-F9EBFB7EFBEB}"	""	""	""	""	"01A"	"Definitie 01A etc."	""	"01A"	"Definitie 01A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#01"	"A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"01B"	"{96FCBF24-15C8-4159-A6FB-DF1E186B1C23}"	""	""	""	""	"01B"	"Definitie 01B etc."	""	"01B"	"Definitie 01B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#01"	"B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"02A"	"{DFFD9EC1-066A-4ca4-9B62-5C494E7203AF}"	""	""	""	""	"02A"	"Definitie 02A etc."	""	"02A"	"Definitie 02A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#02"	"A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"02B"	"{F59AA6C9-000F-44fd-AB70-F27B31BAC62F}"	""	""	""	""	"02B"	"Definitie 02B etc."	""	"02B"	"Definitie 02B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#02"	"B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"03A"	"{330D109C-95DD-40e5-A42B-DBCCF08169E3}"	""	""	""	""	"03A"	"Definitie 03A etc."	""	"03A"	"Definitie 03A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#03"	"A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"03B"	"{6591A095-44DF-4ca0-8353-7F119F6BB480}"	""	""	""	""	"03B"	"Definitie 03B etc."	""	"03B"	"Definitie 03B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#03"	"B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"04A"	"{ABA70F45-E276-4cda-8744-17172352BE7C}"	""	""	""	""	"04A"	"Definitie 04A etc."	""	"04A"	"Definitie 04A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#04"	"A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"04B"	"{8A021D78-7EB8-4878-8AA4-ADB311FBFA93}"	""	""	""	""	"04B"	"Definitie 04B etc."	""	"04B"	"Definitie 04B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#04"	"B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"05A"	"{EEB57B91-7E2C-48a7-81D6-DE46444F89EF}"	""	""	""	""	"05A"	"Definitie 05A etc."	""	"05A"	"Definitie 05A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#05"	"A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"05B"	"{0FC3A8F0-C267-46d1-875E-DF7A406DD4EA}"	""	""	""	""	"05B"	"Definitie 05B etc."	""	"05B"	"Definitie 05B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#05"	"B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"06A"	"{12F270D3-B349-41a5-85F0-69A46FC542B6}"	""	""	""	""	"06A"	"Definitie 06A etc."	""	"06A"	"Definitie 06A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#06"	"A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"06B"	"{45B8501B-19B1-4a7e-93E4-15B7DC5BC3AB}"	""	""	""	""	"06B"	"Definitie 06B etc."	""	"06B"	"Definitie 06B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#06"	"B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"Heeft06B"	"{74CA5391-5BEA-46c1-AB19-0A23EB9418F9}"	""	""	""	""	"Heeft06B"	"Definitie Heeft06B (associatieklasse) etc."	""	"Heeft06B"	"Definitie Heeft06B (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft06B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"96A"	"{54EC4833-0575-47fa-8A9F-9F8460EA56D9}"	""	""	""	""	"96A"	"Definitie 96A etc."	""	"96A"	"Definitie 96A etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#96"	"A"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"96B"	"{D6E6912D-F80E-482b-B274-A4572C690C9F}"	""	""	""	""	"96B"	"Definitie 96B etc."	""	"96B"	"Definitie 96B etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#96"	"B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"MijnDomein"	"Heeft96B"	"{CC93B619-A78A-4c2c-AB77-0009F5259A08}"	""	""	""	""	"Heeft96B"	"Definitie Heeft96B (associatieklasse) etc."	""	"Heeft96B"	"Definitie Heeft96B (associatieklasse) etc."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mijndomein#"	"Heeft96B"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
