"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Dossier"	"{D5D7F91E-66F1-406d-BB4D-0E743419F8D5}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"dossier"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Agent"	"{9373B7C5-B37B-4c94-A47B-44AC43F34274}"	""	""	""	""	"Agent"	""	""	"Agent"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/prov#"	"Agent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Object"	"{9D971D20-1AD5-47f5-B100-B510C218BB50}"	""	""	""	""	"Object"	"Entiteit waarvan alle entiteiten zijn afgeleid."	""	"Object"	"Entiteit waarvan alle entiteiten zijn afgeleid."	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/prov#"	"Entity"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluit"	"Besluit"	"{7E507387-B954-4522-A77C-61DB8BA1D9F2}"	"Stuk"	""	""	""	"Besluit"	"Authentieke schriftelijke neerslag van een beslissing van een bestuursorgaan. Deze beslissing houdt een rechtshandeling in waarbij sprake is van een beoogd rechtsgevolg."	""	"Besluit"	"Authentieke schriftelijke neerslag van een beslissing van een bestuursorgaan. Deze beslissing houdt een rechtshandeling in waarbij sprake is van een beoogd rechtsgevolg."	""	"Resolution"	"Authentic written summary of a decision of a governing body. This decision involves a legal act with an intended legal effect."	""	""	""	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Besluit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://dbpedia.org/ontology/Document, https://data.vlaanderen.be/ns/wetgeving#LegaleVerschijningsvorm, https://data.vlaanderen.be/ns/generiek#FormeelKader, https://data.vlaanderen.be/ns/dossier#Stuk"	""	""
"CLASS"	"OSLO-Dossier"	"Zaak"	"{98601A02-4176-4134-86AB-806EC689CC86}"	"EenheidVanWerk"	""	""	""	"Zaak"	"Een samenhangende hoeveelheid werk met een aanleiding en een beoogd resultaat."	""	"Zaak"	"Een samenhangende hoeveelheid werk met een aanleiding en een beoogd resultaat."	""	""	""	""	""	""	""	""	"true"	"http://dbpedia.org/ontology/"	"Case"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://dbpedia.org/ontology/UnitOfWork"	""	""
"CLASS"	"OSLO-Dossier"	"Procedurestap"	"{F071893C-4559-48b9-926C-BB17776116C8}"	"EenheidVanWerk"	""	""	""	"Procedurestap"	"Een procedurestap is het geheel aan werk gedaan binnen een specifiek chronologisch, logisch, organisatorisch of wettelijk bepaald onderdeel van een procedure."	""	"Procedurestap"	"Een procedurestap is het geheel aan werk gedaan binnen een specifiek chronologisch, logisch, organisatorisch of wettelijk bepaald onderdeel van een procedure."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/dossier#"	"Procedurestap"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://dbpedia.org/ontology/UnitOfWork"	""	""
"CLASS"	"OSLO-Dossier"	"Representatie"	"{68F61635-5503-4abd-922E-4A7A990600BF}"	""	""	""	""	"Representatie"	"Een representatie is een bepaalde weergave van een stuk(onderdeel)."	""	"Representatie"	"Een representatie is een bepaalde weergave van een stuk(onderdeel)."	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/dcat#"	"Distribution"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Dossier"	"Dossier"	"{D2D2B682-C96B-490a-9929-5F9C6CBAADD3}"	"Collectie"	""	""	""	"Dossier"	"Samenhangend geheel van stukken die betrekking hebben op een bepaalde zaak. "	""	"Dossier"	"Samenhangend geheel van stukken die betrekking hebben op een bepaalde zaak. "	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/dossier#"	"Dossier"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Collection"	""	""
"CLASS"	"OSLO-Dossier"	"Participatie"	"{CF186676-229E-4c5b-807B-473FF8D5C204}"	""	""	""	""	"Participatie"	"Deelname aan een activiteit door een agent."	""	"Participatie"	"Deelname aan een activiteit door een agent."	""	""	""	""	""	""	""	""	"true"	"http://data.europa.eu/m8g/"	"Participation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Dossier"	"Entiteit"	"{28D64FC1-7891-4b7d-93C6-745113B120C4}"	""	""	""	""	"Entiteit"	"Iets met een duidelijk en onafhankelijk bestaan."	"In het kader van dossier is dit bv. een foto, een document, een audiofragment, ..."	"Entiteit"	"Iets met een duidelijk en onafhankelijk bestaan."	"In het kader van dossier is dit bv. een foto, een document, een audiofragment, ..."	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/prov#"	"Entity"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Dossier"	"Stuk"	"{DBD4AD26-50FA-4a02-A0DF-B36594C6AD0F}"	"Entiteit"	""	""	""	"Stuk"	"Een stuk uit het dossier dat iets beschrijft en/of informatie bevat."	""	"Stuk"	"Een stuk uit het dossier dat iets beschrijft en/of informatie bevat."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/dossier#"	"Stuk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"CLASS"	"OSLO-Dossier"	"Stukonderdeel"	"{86E337D3-3317-4c30-8A1C-0CE5CC004E2C}"	"Entiteit"	""	""	""	"Stukonderdeel"	"Een apart onderdeel van een groter stuk."	""	"Stukonderdeel"	"Een apart onderdeel van een groter stuk."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/dossier#"	"Stukonderdeel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"CLASS"	"OSLO-Dossier"	"ActiviteitContext"	"{814C1CAB-AD36-4a55-AB8B-F0E6FFEA1EDA}"	""	""	""	""	"Activiteitcontext"	"Context van een relatie tussen dossierstukken. Deze context maakt de samenhang van dossierstukken duidelijk in het kader van één bepaalde activiteit."	""	"Activiteitcontext"	"Context van een relatie tussen dossierstukken. Deze context maakt de samenhang van dossierstukken duidelijk in het kader van één bepaalde activiteit."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/dossier#"	"ActiviteitContext"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#EntityInfluence"	""	""
"CLASS"	"OSLO-Dossier"	"Collectie"	"{EBB25CBB-586D-4594-8EE7-8A4968A38FE7}"	""	""	""	""	"Collectie"	"Een collectie is een entiteit die structuur geeft aan sommige bestanddelen, die zelf entiteiten zijn. Deze bestanddelen zouden deel uitmaken van de collecties."	""	"Collectie"	"Een collectie is een entiteit die structuur geeft aan sommige bestanddelen, die zelf entiteiten zijn. Deze bestanddelen zouden deel uitmaken van de collecties."	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/prov#"	"Collection"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Dossier"	"EenheidVanWerk"	"{15A90A87-0C6D-4fe9-931A-5AD5CF875159}"	""	""	""	""	"Eenheid Van Werk"	"Deze entiteit is bedoeld om de notie van een hoeveelheid werk over te brengen. Het verschilt van Activiteit in die zin dat het een duidelijk einde heeft en gemeten wordt."	""	"Eenheid Van Werk"	"Deze entiteit is bedoeld om de notie van een hoeveelheid werk over te brengen. Het verschilt van Activiteit in die zin dat het een duidelijk einde heeft en gemeten wordt."	""	""	""	""	""	""	""	""	"true"	"http://dbpedia.org/ontology/"	"UnitOfWork"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Dossier"	"Serie"	"{829A15FD-08B2-47cd-A182-E8CCF0EA0A20}"	"Collectie"	""	""	""	"Serie"	"Een serie is een collectie van stukken die gemeenschappelijke eigenschappen deelt."	"Voor attributen, zie model ""Digitaal Archief Vlaanderen"""	"Serie"	"Een serie is een collectie van stukken die gemeenschappelijke eigenschappen deelt."	"Voor attributen, zie model ""Digitaal Archief Vlaanderen"""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/dossier#"	"Serie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Collection"	""	""
