"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Logies"	"{75B25F0C-3287-426a-BB58-89873962C5BE}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"logies"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Logies"	"Logies"	"{D81A8AB4-EC19-4381-99BF-2976C31FC9FF}"	""	""	""	""	"Logies"	"Elke constructie, inrichting, ruimte of terrein, in eender welke?

vorm, dat aan één of meer toeristen tegen betaling de mogelijkheid tot verblijf biedt voor een of meer nachten, en dat wordt aangeboden op de toeristische markt."	"Zie ook https://schema.org/docs/hotels.html"	"Logies"	"Elke constructie, inrichting, ruimte of terrein, in eender welke?

vorm, dat aan één of meer toeristen tegen betaling de mogelijkheid tot verblijf biedt voor een of meer nachten, en dat wordt aangeboden op de toeristische markt."	"Zie ook https://schema.org/docs/hotels.html"	""	""	""	"http://schema.org/LodgingBusiness"	""	""	""	"false"	"https://data.vlaanderen.be/ns/logies#"	"Logies"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Logies"	"Verhuureenheid"	"{22F742D2-8C0F-4a96-9993-82D000C61F7E}"	""	""	""	""	"Verhuureenheid"	"Een afzonderlijk te huren kamer, ruimte, oppervlakte of onderdeel waar kan worden overnacht."	""	"Verhuureenheid"	"Een afzonderlijk te huren kamer, ruimte, oppervlakte of onderdeel waar kan worden overnacht."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/logies#"	"Verhuureenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://schema.org/Accomodation"	""	""
"CLASS"	"OSLO-Logies"	"Beoordeling"	"{223ADF6C-C358-4c1b-9BFB-F20304C4BA51}"	""	""	""	""	"Beoordeling"	"Een beoordeling is een evaluatie op een schaal, zoals bijvoorbeeld 1 tot 5 sterren."	""	"Beoordeling"	"Een beoordeling is een evaluatie op een schaal, zoals bijvoorbeeld 1 tot 5 sterren."	""	""	""	""	""	""	""	""	"true"	"http://schema.org/"	"Rating"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"GeregistreerdeOrganisatie"	"{FF8621A4-235C-4c60-9A83-E24C29B5E4D3}"	""	""	""	""	"Geregistreerde Organisatie"	"    Organisatie met een juridisch statuut vastgelegd door registratie. Vergelijk met een formele organisatie waarbij dit statuut ook op een andere manier verkregen kan zijn."	""	"Geregistreerde Organisatie"	"    Organisatie met een juridisch statuut vastgelegd door registratie. Vergelijk met een formele organisatie waarbij dit statuut ook op een andere manier verkregen kan zijn."	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/regorg#"	"RegisteredOrganization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#FormalOrganization"	""	""
"CLASS"	"OSLO-Logies"	"ToeristischeRegio"	"{00951418-8322-436c-B825-C77830947AE9}"	""	""	""	""	"Toeristische regio"	"Geografische afbakening van een promotioneel samenhangend gebied. "	""	"Toeristische regio"	"Geografische afbakening van een promotioneel samenhangend gebied. "	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/logies#"	"ToeristischeRegio"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Location"	""	""
"CLASS"	"OSLO-Logies"	"Beschrijving"	"{FD19E00A-00C4-4b35-A371-C84A16C08D0C}"	"CreatiefWerk"	""	""	""	"Beschrijving"	"Een omschrijving van een object."	""	"Beschrijving"	"Een omschrijving van een object."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/logies#"	"Beschrijving"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://schema.org/CreativeWork"	""	""
"CLASS"	"OSLO-Logies"	"MediaObject"	"{160FB12D-6E80-4a93-9345-05E74EF24099}"	"CreatiefWerk"	""	""	""	"Media Object"	"Een media-object, zoals bijvoorbeeld een afbeelding, video of audio-object."	""	"Media Object"	"Een media-object, zoals bijvoorbeeld een afbeelding, video of audio-object."	""	""	""	""	""	""	""	""	"true"	"http://schema.org/"	"MediaObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://schema.org/CreativeWork"	""	""
"CLASS"	"OSLO-Logies"	"Faciliteit"	"{FE8D69E3-957E-43ad-A14E-A70EE616E3B3}"	""	""	""	""	"Faciliteit"	"Aanwezige infrastructuur of dienst."	""	"Faciliteit"	"Aanwezige infrastructuur of dienst."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/logies#"	"Faciliteit"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://schema.org/LocationFeatureSpecification"	""	""
"DATATYPE"	"OSLO-Logies"	"KwantitatieveWaarde"	"{9D6C6A95-36B3-4b31-B0DB-8CA18C45F3F4}"	""	""	""	""	"Kwantitatieve waarde"	"Een meetbare waarde van het gerelateerde object."	""	"Kwantitatieve waarde"	"Een meetbare waarde van het gerelateerde object."	""	""	""	""	""	""	""	""	"true"	"http://schema.org/"	"QuantitativeValue"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
