"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Mobiliteit"	"{64D81797-578A-4145-9D4B-92D3DC503766}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"mobiliteit"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"SteunAanGevelOfMuur"	"{114E2D66-C8A9-4483-8C12-EEFB26313B4E}"	"OSLO-OpenbaarDomein::Infrastructuurelement"	""	""	""	"Steun aan gevel of muur"	"Steun die bevestigd is aan een muur of gevel om verticale verkeerssignalisatie aan te brengen."	""	"Steun aan gevel of muur"	"Steun die bevestigd is aan een muur of gevel om verticale verkeerssignalisatie aan te brengen."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"SteunAanGevelOfMuur"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#Infrastructuurelement"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Verankering"	"{C678BAC6-8DC1-4514-80DA-780C2BC7EC25}"	""	""	""	""	"Verankering"	"Bovengrondse en/of ondergrondse elementen die de opstelling ondersteunen."	""	"Verankering"	"Bovengrondse en/of ondergrondse elementen die de opstelling ondersteunen."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Verankering"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Steun"	"{982FCD52-4D38-4df8-8172-3D6DFF72FEAF}"	"OSLO-OpenbaarDomein::Infrastructuurelement"	""	""	""	"Steun"	"Paal waaraan signalisatie bevestigd kan worden."	""	"Steun"	"Paal waaraan signalisatie bevestigd kan worden."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Steun"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#Infrastructuurelement"	""	""
"CLASS"	"OSLO-Mobiliteit"	"OSLO-OpenbaarDomein::Infrastructuurelement"	"{FD23E881-02C4-4e0b-B83B-A7526381ED2C}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#"	"Infrastructuurelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Bevestiging"	"{50E8B0F1-CE6F-459b-B71B-0C5FA4CA0D96}"	""	""	""	""	"Bevestiging"	"Het montage-element dat een verkeersbord bevestigt aan een infrastructuurelement."	""	"Bevestiging"	"Het montage-element dat een verkeersbord bevestigt aan een infrastructuurelement."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Bevestiging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"Opstelling"	"{4E870C37-8D16-4818-ACF2-DDFB3D5C8127}"	""	""	""	""	"Opstelling"	"Het geheel van verticale verkeerssignalisatie die bevestigd is op dezelfde infrastructuurelementen."	""	"Opstelling"	"Het geheel van verticale verkeerssignalisatie die bevestigd is op dezelfde infrastructuurelementen."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Opstelling"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Mobiliteit"	"OSLO-OpenbaarDomein::Verkeersbord"	"{B895E7BF-86DC-4fcc-82C7-7D2215740BA7}"	"OSLO-OpenbaarDomein::Infrastructuurelement"	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#"	"Verkeersbord"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#Infrastructuurelement"	""	""
"CLASS"	"OSLO-Mobiliteit"	"Verkeersbordconcept"	"{7414918C-A591-472a-B81D-76F15A9DA626}"	""	""	""	""	"Verkeersbordconcept"	"Concept van een bepaalde soort verkeersbord."	""	"Verkeersbordconcept"	"Concept van een bepaalde soort verkeersbord."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/mobiliteit#"	"Verkeersbordconcept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Mobiliteit"	"VerkeersbordbasisStatus"	"{17A712DB-5FBD-4fcf-81AF-7CB08CE36F02}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
