"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Netwerktypes"	"{8622EAF6-D8E9-41ec-AF54-40B2A4108043}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://otl.data.vlaanderen.be/"	"netwerktypes"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"Generieke_Types"	"_AWV_Object"	"{C3CBD401-EC86-4363-9821-CCE89EB2F0A9}"	""	""	""	""	"_AWV_Object"	"AWV object"	"Nog in te vullen"	"_AWV_Object"	"AWV object"	"Nog in te vullen"	""	""	""	""	""	""	""	"true"	"https://otl.data.vlaanderen.be/Generieke_Types#"	"_AWV_Object"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Generieke_Types"	"Derdenobject"	"{2E742FB9-8EC0-4b0c-B647-412FE90511F7}"	""	""	""	""	"Derdenobject"	"Object niet in eigendom van AWV maar verbonden met een object van AWV"	"Nog in te vullen"	"Derdenobject"	"Object niet in eigendom van AWV maar verbonden met een object van AWV"	"Nog in te vullen"	""	""	""	""	""	""	""	"true"	"https://otl.data.vlaanderen.be/Generieke_Types#"	"Derdenobject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Netwerktypes"	"Patchpaneel"	"{75A7DFEC-CD8C-464e-BDA8-FC1F7616B460}"	""	""	""	""	"Patchpaneel"	"Nog in te vullen"	"Nog in te vullen"	"Patchpaneel"	"Nog in te vullen"	"Nog in te vullen"	""	""	""	""	""	""	""	"false"	"https://otl.data.vlaanderen.be/netwerktypes#"	"Patchpaneel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Netwerktypes"	"Poort"	"{FC27E283-3B8E-4b64-A8E6-16D40BE3B1EF}"	""	""	""	""	"Poort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP, XFP, ...
"	"Nog in te vullen"	"Poort"	"Is de ingang van het toestel samen met component die erop zit bv. SFP, XFP, ...
"	"Nog in te vullen"	""	""	""	""	""	""	""	"false"	"https://otl.data.vlaanderen.be/netwerktypes#"	"Poort"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Netwerktypes"	"Switch"	"{E4A86068-88BE-43ba-AA42-259DCA29C13C}"	"Netwerkelement"	""	""	""	"Switch"	"Nog in te vullen"	"Nog in te vullen"	"Switch"	"Nog in te vullen"	"Nog in te vullen"	""	""	""	""	""	""	""	"false"	"https://otl.data.vlaanderen.be/netwerktypes#"	"Switch"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://otl.data.vlaanderen.be/netwerktypes#Netwerkelement"	""	""
"CLASS"	"OSLO-Netwerktypes"	"Router"	"{F7415EC6-4664-4436-BE44-3060022CFD8A}"	"Netwerkelement"	""	""	""	"Router"	"Elektronisch toestel dat computernetwerken met elkaar verbindt"	"Nog in te vullen"	"Router"	"Elektronisch toestel dat computernetwerken met elkaar verbindt"	"Nog in te vullen"	""	""	""	""	""	""	""	"false"	"https://otl.data.vlaanderen.be/netwerktypes#"	"Router"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://otl.data.vlaanderen.be/netwerktypes#Netwerkelement"	""	""
"CLASS"	"OSLO-Netwerktypes"	"Kaart"	"{413CD96A-CD5B-48d5-8484-D52F51FF8977}"	"_Transport"	""	""	""	"Kaart"	"Nog in te vullen"	"Nog in te vullen"	"Kaart"	"Nog in te vullen"	"Nog in te vullen"	""	""	""	""	""	""	""	"false"	"https://otl.data.vlaanderen.be/netwerktypes#"	"Kaart"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://otl.data.vlaanderen.be/netwerktypes#_Transport"	""	""
"CLASS"	"OSLO-Netwerktypes"	"Netwerkelement"	"{2E80EBBF-F03C-42b1-9936-7A94910F6F7E}"	"_Transport"	""	""	""	"Netwerkelement"	"Nog in te vullen"	"Nog in te vullen"	"Netwerkelement"	"Nog in te vullen"	"Nog in te vullen"	""	""	""	""	""	""	""	"false"	"https://otl.data.vlaanderen.be/netwerktypes#"	"Netwerkelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://otl.data.vlaanderen.be/netwerktypes#_Transport"	""	""
"CLASS"	"OSLO-Netwerktypes"	"Rack"	"{A82230B8-60B4-4fbc-BA51-009E17F0B1D9}"	""	""	""	""	"Rack"	"Uniek nummer uit de Kabelnet toepassing dat deze toegang identificeert, optioneel want niet alle racks zijn geadministreerd in het kabelnet."	"Nog in te vullen"	"Rack"	"Uniek nummer uit de Kabelnet toepassing dat deze toegang identificeert, optioneel want niet alle racks zijn geadministreerd in het kabelnet."	"Nog in te vullen"	""	""	""	""	""	""	""	"false"	"https://otl.data.vlaanderen.be/netwerktypes#"	"Rack"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
