"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"Model"	"{447CB901-9566-468f-9ADD-A2982ABEFD69}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"openbaardomein"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"Model"	"FysiekObject"	"{0C707DB5-1D87-4604-8A06-36F07898FB03}"	""	""	""	""	"Object"	"De hoofdklasse waar alle objecten die geïnventariseerd kunnen worden van afgeleid worden."	""	"Object"	"De hoofdklasse waar alle objecten die geïnventariseerd kunnen worden van afgeleid worden."	""	""	""	""	""	"http://schema.org/Thing"	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein#"	"FysiekObject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"CLASS"	"Model"	"FysiekVoorkomen"	"{9F88AE75-34D3-48d3-B55E-BDD2CAA5DE74}"	""	""	""	""	"Fysiek Voorkomen"	"Beschrijving van het fysieke voorkomen van het object."	""	"Fysiek Voorkomen"	"Beschrijving van het fysieke voorkomen van het object."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein#"	"FysiekVoorkomen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"BegroeidVoorkomen"	"BegroeidVoorkomen"	"{7265F46D-BC35-448a-983F-044380912A0F}"	"TerreinVoorkomen"	""	""	""	"Begroeid Voorkomen"	"De ruimtelijke massa van planten-individuen, in samenhang met de plaats waar zij groeien. "	""	"Begroeid Voorkomen"	"De ruimtelijke massa van planten-individuen, in samenhang met de plaats waar zij groeien. "	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/openbaardomein/begroeidvoorkomen#"	"BegroeidVoorkomen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein/terreindeel#TerreinVoorkomen"	""	""
"CLASS"	"VegetatieElement"	"VegetatieElement"	"{52FD4FDA-B761-4088-B40A-A6CA79215492}"	"Element"	""	""	""	"Vegetatie Element"	"Solitaire plant in de ruimte."	""	"Vegetatie Element"	"Solitaire plant in de ruimte."	""	""	""	""	""	"http://rs.tdwg.org/dwc/terms/Taxon"	""	""	"true"	"https://data.vlaanderen.be/ns/openbaardomein/vegetatie#"	"VegetatieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein#Element"	""	""
"CLASS"	"InfrastructuurElement"	"Infrastructuurelement"	"{BE978AD9-6EC3-4227-80B7-7D4FE8305601}"	"Element"	""	""	""	"Infrastructuurelement"	"Individueel object op het Openbaar Domein dat niet vegetatief is "	""	"Infrastructuurelement"	"Individueel object op het Openbaar Domein dat niet vegetatief is "	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/openbaardomein/infrastructuur#"	"Infrastructuurelement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein#Element"	""	""
"CLASS"	"Model"	"Deel"	"{F8E30B7C-476D-46ae-9A6A-60BEE33D3EBF}"	"FysiekObject"	""	""	""	"Deel"	"Homogeen gedeelte van het aardoppervlak, met een gelijkaardige hoofdfunctie en fysiek voorkomen."	""	"Deel"	"Homogeen gedeelte van het aardoppervlak, met een gelijkaardige hoofdfunctie en fysiek voorkomen."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein#"	"Deel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein#FysiekObject"	""	""
"CLASS"	"Model"	"Element"	"{A8C3620F-8AC9-4df1-8B9A-838A9043531F}"	"FysiekObject"	""	""	""	"Element"	"Afzonderlijk te onderscheiden element dat ofwel direct of indirect bevestigd is aan het aardoppervlak."	""	"Element"	"Afzonderlijk te onderscheiden element dat ofwel direct of indirect bevestigd is aan het aardoppervlak."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/openbaardomein#"	"Element"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein#FysiekObject"	""	""
"CLASS"	"Waterdeel"	"Waterdeel"	"{554A154F-C885-43a4-A9BD-EA5B9B6A8BD6}"	"Deel"	""	""	""	"Waterdeel"	"Gebied dat rechtstreeks gedomineerd wordt door de tijdelijke of permanente aanwezigheid van oppervlaktewater, met een bepaalde hieraan verbonden functie"	"GRB Lexicon: Definitie Watergang"	"Waterdeel"	"Gebied dat rechtstreeks gedomineerd wordt door de tijdelijke of permanente aanwezigheid van oppervlaktewater, met een bepaalde hieraan verbonden functie"	"GRB Lexicon: Definitie Watergang"	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/openbaardomein/waterdeel#"	"Waterdeel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein#Deel"	""	""
"CLASS"	"Terreindeel"	"Terreindeel"	"{34A125BB-C0F7-46de-8AEB-7D14EB4DB6C0}"	"Deel"	""	""	""	"Terreindeel"	"Gedeelte van het aardoppervlak, met een gelijkaardige functie, dat geen deel uitmaakt van 'waterdeel'"	""	"Terreindeel"	"Gedeelte van het aardoppervlak, met een gelijkaardige functie, dat geen deel uitmaakt van 'waterdeel'"	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/openbaardomein/terreindeel#"	"Terreindeel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/openbaardomein#Deel"	""	""
