"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Organisatie"	"{B3C48593-6CFA-41e3-B2D8-9343C4DA364A}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"organisatie"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"Vervanging"	"{4F37CB00-2D44-424a-8E41-3B2F13931A08}"	"Veranderingsgebeurtenis"	""	""	""	"Vervanging"	"Gebeurtenis waarbij een organisatie wordt vervangen door een andere."	"Bvb doorstart ve bedrijf na technisch faillissement."	"Vervanging"	"Gebeurtenis waarbij een organisatie wordt vervangen door een andere."	"Bvb doorstart ve bedrijf na technisch faillissement."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/organisatie#"	"Vervanging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#ChangeEvent"	""	""
"CLASS"	"OSLO-Organisatie"	"Fusie"	"{521F49C9-04DC-46f6-A749-714DD3634812}"	"Veranderingsgebeurtenis"	""	""	""	"Fusie"	"Gebeurtenis waarbij twee organisaties samen een nieuwe organisatie vormen."	" "	"Fusie"	"Gebeurtenis waarbij twee organisaties samen een nieuwe organisatie vormen."	" "	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/organisatie#"	"Fusie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#ChangeEvent"	""	""
"CLASS"	"OSLO-Organisatie"	"Splitsing"	"{91ACB613-2304-4fe6-B789-AB68C63F81F6}"	"Veranderingsgebeurtenis"	""	""	""	"Splitsing"	"Gebeurtenis waarbij uit één organisatie twee organisaties worden gevormd."	" "	"Splitsing"	"Gebeurtenis waarbij uit één organisatie twee organisaties worden gevormd."	" "	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/organisatie#"	"Splitsing"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#ChangeEvent"	""	""
"ENUMERATION"	"OSLO-Organisatie"	"Rechtstoestandtype"	"{BE6912B6-6908-4095-8193-F2BE2211CFFA}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Organisatie"	"Rechtsvormtype"	"{4500F051-B75C-40d2-9A28-1A9577CC704B}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Organisatie"	"StopzettingType"	"{A4E81276-8715-4278-9BB5-A45245B70DC8}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Organisatie"	"OrganisatieType"	"{0E6FDEFC-6F34-4dd3-929F-47622A09B519}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Organisatie"	"OrganisatieStatus"	"{AA06BD5E-2F45-46e8-B18C-125A70124380}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Organisatie"	"Rechtspersoonlijkheidtype"	"{F5178A4B-4B62-4139-BB88-2D4C67988E24}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Organisatie"	"OrganisatieClassificatie"	"{96C2407A-F1FA-4432-B323-4C3176522957}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Organisatie"	"OrganisatieActiviteit"	"{27837CA9-D237-49bc-87F3-027DE9FB19A4}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Organisatie"	"Rol"	"{24D2C3F0-4886-4f5c-B01A-DBB8E88B5B8B}"	""	""	""	""	"Rol"	""	""	"Rol"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/org#"	"Role"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"Hoedanigheid"	"{8A6640AE-A9E7-4514-ACA2-49B566956842}"	"Agent, Positie"	""	""	""	"Hoedanigheid"	"Agent met een positie."	"Laat een functie toe om te handelen,bv ihkv een dienstverlening (bv diversiteitsplan wordt opgemaakt door diversiteitsambtenaar)."	"Hoedanigheid"	"Agent met een positie."	"Laat een functie toe om te handelen,bv ihkv een dienstverlening (bv diversiteitsplan wordt opgemaakt door diversiteitsambtenaar)."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/organisatie#"	"Hoedanigheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/org#Post, http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Organisatie"	"Positie"	"{6FD0C7FE-AC79-4d62-A1D6-0F365EF20317}"	""	""	""	""	"Positie"	""	""	"Positie"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/org#"	"Post"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"ContactInfo"	"{1425DF18-BC32-420a-8274-AAADEF848732}"	""	""	""	""	"Contactpunt"	""	""	"Contactpunt"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://schema.org/"	"ContactPoint"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"FormeelKader"	"{958AA069-D4D1-49c6-B786-BF9499FD4CF1}"	""	""	""	""	"Formeel Kader"	""	""	"Formeel Kader"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://purl.org/vocab/cpsv#"	"FormalFramework"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
