"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-OTL-Vocabularium"	"{ECE9BBC3-4F16-476e-85D6-55FFFA809C1D}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/"	"otl"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-OTL-Vocabularium"	"Coordinaat"	"{B9FF3E62-B193-4ced-BB39-265C03C6A47A}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"Coordinaat"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-OTL-Vocabularium"	"Millimeter"	"{AE04A0C4-258A-4401-B823-305832B572AC}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"Millimeter"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-OTL-Vocabularium"	"NatuurlijkPersoon"	"{B30BD3DB-A0B6-4d87-941F-A1224443D437}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"NatuurlijkPersoon"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vocabularium"	"BekledingComponent"	"{3C951E52-66AE-44b9-9955-0BA373F8483F}"	""	""	""	""	"BekledingComponent"	""	""	"BekledingComponent"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"BekledingComponent"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vocabularium"	"ConstructieElement"	"{917FBCD6-FAE5-4b0a-94ED-2D7B8053BE7C}"	""	""	""	""	"ConstructieElement"	""	""	"ConstructieElement"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"ConstructieElement"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vocabularium"	"Montagekast"	"{414E29D7-8BC4-4306-A670-4D62E071D768}"	""	""	""	""	"Montagekast"	"Een montagekast is een klein kastje dat aan een tunnel, brug of ander object bevestigd wordt om verlichtingstoestellen te voeden die eveneens rechtstreeks aan dat object bevstigd zijn."	""	"Montagekast"	"Een montagekast is een klein kastje dat aan een tunnel, brug of ander object bevestigd wordt om verlichtingstoestellen te voeden die eveneens rechtstreeks aan dat object bevstigd zijn."	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"Montagekast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vocabularium"	"RetroReflecterendeKoker"	"{4D89AB37-11C7-4ce3-8C9E-9EC2FA4FF0D8}"	""	""	""	""	"RetroReflecterendeKoker"	"Een kunststoffen koker bevestigd rond een steun om de zichtbaarheid van verkeerseilanden te verhogen"	""	"RetroReflecterendeKoker"	"Een kunststoffen koker bevestigd rond een steun om de zichtbaarheid van verkeerseilanden te verhogen"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"RetroReflecterendeKoker"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vocabularium"	"VRIDraagConstructies"	"{A43B5DE6-5C6C-4063-B247-4509A5F20DCB}"	""	""	""	""	"VRIDraagConstructies"	"Een dragend element (bv. paal, kolom,) waaraan lantaarns met verkeerslichten bevestigd kunnen worden"	""	"VRIDraagConstructies"	"Een dragend element (bv. paal, kolom,) waaraan lantaarns met verkeerslichten bevestigd kunnen worden"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"VRIDraagConstructies"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vocabularium"	"Bevestigingsbeugel"	"{D74E2585-DC12-42d0-AA22-9A3F91C3F60F}"	""	""	""	""	"Bevestigingsbeugel"	"Verbindingsstuk waarmee een object kan vastgemaakt worden aan een steun of oppervlak"	""	"Bevestigingsbeugel"	"Verbindingsstuk waarmee een object kan vastgemaakt worden aan een steun of oppervlak"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"Bevestigingsbeugel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-OTL-Vocabularium"	"WVLichtmast"	"{5D3830B3-8B66-43e3-AB06-308C677CDEF0}"	""	""	""	""	"WVLichtmast"	"Paal waarop een verlichtingstoestel bevestigd kan worden, inclusief deurtje, klemmenblok, montagekastje, bevestigingsmaterialen (bv. voetplaten) en fundering of verankeringsmassief. Voorzien van armen voor het bevestigen van verlichtingstoestellen"	""	"WVLichtmast"	"Paal waarop een verlichtingstoestel bevestigd kan worden, inclusief deurtje, klemmenblok, montagekastje, bevestigingsmaterialen (bv. voetplaten) en fundering of verankeringsmassief. Voorzien van armen voor het bevestigen van verlichtingstoestellen"	""	""	""	""	""	""	""	""	"true"	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#"	"WVLichtmast"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/otl#WVDraagConstructies, https://wegenenverkeer.data.vlaanderen.be/ns/otl#Lichtmast"	""	""
