"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Perceel"	"{98319CB8-6416-4af5-AE23-D51D78A12CD3}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"perceel"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Perceel"	"KadastraalPatrimoniumperceel"	"{F1FA5575-DB66-49fd-A353-2841C3AFA6F8}"	""	""	""	""	"Kadastraal Patrimoniumperceel"	"Een onroerend goed of onroerend recht dat in hoofde van één of meerdere titularissen van een zakelijk recht onderworpen is aan een bepaald eigendomsstatuut."	"Deze definitie is gealigneerd met de definitie van de Algemene Administratie van de PatrimoniumDocumentatie (AAPD). Kadastraal Patrimoniumperceel komt overeen met de entiteit BasicPropertyUnit uit INSPIRE Cadastral Parcel."	"Kadastraal Patrimoniumperceel"	"Een onroerend goed of onroerend recht dat in hoofde van één of meerdere titularissen van een zakelijk recht onderworpen is aan een bepaald eigendomsstatuut."	"Deze definitie is gealigneerd met de definitie van de Algemene Administratie van de PatrimoniumDocumentatie (AAPD). Kadastraal Patrimoniumperceel komt overeen met de entiteit BasicPropertyUnit uit INSPIRE Cadastral Parcel."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/perceel#"	"KadastraalPatrimoniumperceel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"CLASS"	"OSLO-Perceel"	"KadastraalPlanperceel"	"{B89F30BC-8B47-4d31-85AC-9CB971CD324E}"	"RuimtelijkeEenheid"	""	""	""	"Kadastraal Planperceel"	"Een gedeelte van het Belgische grondgebied, geografische afgebakend en geïdentificeerd door de AAPD op het kadastraal percelenplan, dat overeenstemt met het grondoppervlak van één of meerdere kadastrale patrimoniale percelen."	"Kadastraal Planperceel komt overeen met de entiteit CadastralParcel uit INSPIRE Cadastral Parcel. De identificator dat gedefinieerd kan worden voor een Kadastraal planperceel komt overeen met de CaPaKey (bijvoorbeeld 44024A0034/00B002)."	"Kadastraal Planperceel"	"Een gedeelte van het Belgische grondgebied, geografische afgebakend en geïdentificeerd door de AAPD op het kadastraal percelenplan, dat overeenstemt met het grondoppervlak van één of meerdere kadastrale patrimoniale percelen."	"Kadastraal Planperceel komt overeen met de entiteit CadastralParcel uit INSPIRE Cadastral Parcel. De identificator dat gedefinieerd kan worden voor een Kadastraal planperceel komt overeen met de CaPaKey (bijvoorbeeld 44024A0034/00B002)."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/perceel#"	"KadastraalPlanperceel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/perceel#RuimtelijkeEenheid"	""	""
"CLASS"	"OSLO-Perceel"	"RuimtelijkeEenheid"	"{6C491CB9-6611-49af-9A8B-371C84D9E43D}"	""	""	""	""	"Ruimtelijke Eenheid"	"Eén gebied (of meerdere gebieden) van land en/of water, of één enkel volume (of meerdere volumes) ruimte, afgebakend voor een bepaald doel."	"Definitie conform ISO 19152 - Land Administration Domain Model."	"Ruimtelijke Eenheid"	"Eén gebied (of meerdere gebieden) van land en/of water, of één enkel volume (of meerdere volumes) ruimte, afgebakend voor een bepaald doel."	"Definitie conform ISO 19152 - Land Administration Domain Model."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/perceel#"	"RuimtelijkeEenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Perceel"	"Verantwoordelijkheidtype"	"{46D1F2B3-D7EB-4977-94B4-31426F8F84AB}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Perceel"	"RuimtelijkeEenheidtype"	"{F3E091EF-2925-4978-927A-8666C6B836C5}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Perceel"	"Restrictietype"	"{367D5C94-943A-4e6b-8C3E-66B292DA11D1}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Perceel"	"Rechttype"	"{C6C396EE-9DB1-4ccd-B4D6-6CCCCBCA5FF4}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Perceel"	"Oppervlaktetype"	"{AE85022D-CAE7-4e4c-8FE4-B615896E4173}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Perceel"	"Landgebruik"	"{4FBA66C1-C82C-445f-8BDD-6DE3D4033C38}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Perceel"	"Dimensie"	"{FC6E0218-DDA8-4dbc-B598-3948093822B1}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Perceel"	"ZakelijkRechttype"	"{AA02D35A-E8F3-43c1-8C53-08AB7138774D}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Gebouw"	"Gebouw"	"{0FC721D7-400B-497f-A9FE-F5E879B921A5}"	""	""	""	""	"Gebouw"	"Een gesloten en/of overdekt, bovengronds of ondergronds bouwwerk, dat dient of bestemd is, ofwel om mensen, dieren en voorwerpen onder te brengen, ofwel om economische goederen te vervaardigen of diensten te verstrekken. Een gebouw verwijst naar gelijk welke structuur die op blijvende wijze op een terrein opgetrokken of gebouwd wordt."	""	"Gebouw"	"Een gesloten en/of overdekt, bovengronds of ondergronds bouwwerk, dat dient of bestemd is, ofwel om mensen, dieren en voorwerpen onder te brengen, ofwel om economische goederen te vervaardigen of diensten te verstrekken. Een gebouw verwijst naar gelijk welke structuur die op blijvende wijze op een terrein opgetrokken of gebouwd wordt."	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/gebouw#"	"Gebouw"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Object"	""	""
"CLASS"	"OSLO-Perceel"	"ZakelijkRecht"	"{5B550735-385D-448a-99C4-34E48F59CCFE}"	""	""	""	""	"Zakelijk Recht"	"De zakelijke rechten zijn rechten die rechtstreeks op een zaak worden uitgeoefend. Een zakelijk recht geef aan zijn titularis een rechtstreekse en onmiddellijke macht over de zaak waarop het is gevestigd. Een zakelijk recht is een absoluut recht, in die zin dat zijn titularis het tegen iedereen kan doen gelden."	"Deze definitie is gealigneerd met de definitie van de Algemene Administratie van de PatrimoniumDocumentatie (AAPD)."	"Zakelijk Recht"	"De zakelijke rechten zijn rechten die rechtstreeks op een zaak worden uitgeoefend. Een zakelijk recht geef aan zijn titularis een rechtstreekse en onmiddellijke macht over de zaak waarop het is gevestigd. Een zakelijk recht is een absoluut recht, in die zin dat zijn titularis het tegen iedereen kan doen gelden."	"Deze definitie is gealigneerd met de definitie van de Algemene Administratie van de PatrimoniumDocumentatie (AAPD)."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/perceel#"	"ZakelijkRecht"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
