"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Proefenmeting"	"{B2EC9E7D-239D-439d-9499-736E6456BD16}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/"	"proefenmeting"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefStroefheid"	"{0376FD84-8917-436d-850F-B27375979C7B}"	""	""	""	""	"proef stroefheid"	"Abstracte Proef_stroefheid"	""	"proef stroefheid"	"Abstracte Proef_stroefheid"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPrioriMotorvangplank"	"{0432F959-8031-4751-8CC4-A35D2F6FD840}"	""	""	""	""	"proef a priori motorvangplank"	"Abstracte voor proef Motorvangplank."	""	"proef a priori motorvangplank"	"Abstracte voor proef Motorvangplank."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPosterioriTKW"	"{31191DF5-D7E8-4621-AB3C-3DE01E51A39F}"	""	""	""	""	"proef a posteriori t k w"	"Verzameling van de a posteriori proeven voor TKW"	""	"proef a posteriori t k w"	"Verzameling van de a posteriori proeven voor TKW"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefTijdensCementbetonverharding"	"{407A6F8E-12D8-4986-84D0-62C93DF3704B}"	""	""	""	""	"proef tijdens cementbetonverharding"	"abstracte _Proef_tijdens_cementbetonverharding"	""	"proef tijdens cementbetonverharding"	"abstracte _Proef_tijdens_cementbetonverharding"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefTijdensAndereVerhardingen"	"{42CFECE8-C167-45ee-97F3-794AE56AE206}"	""	""	""	""	"proef tijdens andere verhardingen"	"abstracte _Proef_tijdens_Andere_verhardingen"	""	"proef tijdens andere verhardingen"	"abstracte _Proef_tijdens_Andere_verhardingen"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefTijdensVerkeersbord"	"{49CC568F-867C-4fb8-9EF6-5CF13F341F2B}"	""	""	""	""	"proef tijdens verkeersbord"	"Abstracte voor de proef op het verkeersbord."	""	"proef tijdens verkeersbord"	"Abstracte voor de proef op het verkeersbord."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPosterioriBestrating"	"{4A6E4628-F86E-48e0-9798-A4648C783F66}"	""	""	""	""	"proef a posteriori bestrating"	"Verzameling van de a posteriori proeven voor Bestrating"	""	"proef a posteriori bestrating"	"Verzameling van de a posteriori proeven voor Bestrating"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefLangsvlakheid"	"{4C330167-F493-428c-8621-854CABF764AA}"	""	""	""	""	"proef langsvlakheid"	"Abstracte voor de langsvlakheidsproef."	""	"proef langsvlakheid"	"Abstracte voor de langsvlakheidsproef."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefSleuf"	"{508C732C-6C22-4e5f-BE12-E405114230A9}"	""	""	""	""	"proef sleuf"	"Hfst7-<b>1.1.2.7</b>A,B,C"	""	"proef sleuf"	"Hfst7-<b>1.1.2.7</b>A,B,C"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefAPrioriObstakelbeveiliger"	"{536826F0-0B44-4b8d-9578-21676F188C16}"	""	""	""	""	"proef a priori obstakelbeveiliger"	"Abstracte voor proef Obstakelbeveiliger."	""	"proef a priori obstakelbeveiliger"	"Abstracte voor proef Obstakelbeveiliger."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefSondering"	"{07BF9A81-6512-4fe8-A30E-85D591E24424}"	""	""	""	""	"proef sondering"	"Abstracte voor de sonderingsproef."	""	"proef sondering"	"Abstracte voor de sonderingsproef."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/proefenmeting#"	""	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
