"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Transportnetwerk"	"{0F11048A-0E3F-4af3-A377-3B17AE2D89AB}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"transportnetwerk"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Transportobject"	"{DEF8037C-4468-4dbc-A543-4DFE77D6C610}"	""	""	""	""	"Transportobject"	"Element in een Transportnetwerk dat daarin een functie van belang vervult."	""	"Transportobject"	"Element in een Transportnetwerk dat daarin een functie van belang vervult."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Transportobject"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/netwerk#Netwerkelement"	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Transportgebied"	"{8E169220-7B3C-4241-B87B-F5849C5A6F05}"	"Transportobject"	""	""	""	"Transportgebied"	"Tweedimensionaal Transportobject in een Transportetwerk."	""	"Transportgebied"	"Tweedimensionaal Transportobject in een Transportetwerk."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Transportgebied"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/transportnetwerk#Transportobject, https://data.vlaanderen.be/ns/netwerk#Netwerkgebied"	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Transportknoop"	"{3557E513-631B-4c32-83FB-8422A8489FC5}"	"Transportobject"	""	""	""	"Transportknoop"	"Significante positie in het Transportnetwerk die steeds samenvalt met het begin of het einde van een Transportlink."	""	"Transportknoop"	"Significante positie in het Transportnetwerk die steeds samenvalt met het begin of het einde van een Transportlink."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Transportknoop"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/transportnetwerk#Transportobject, https://data.vlaanderen.be/ns/netwerk#Knoop"	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Transportlink"	"{EAD7F5A2-0B22-44ff-8ABD-09DD6C0ECF8D}"	"Transportobject"	""	""	""	"Transportlink"	"Lineair ruimtelijk object dat de geometrie en connectiviteit beschrijft tussen twee punten in in een Transportnetwer."	""	"Transportlink"	"Lineair ruimtelijk object dat de geometrie en connectiviteit beschrijft tussen twee punten in in een Transportnetwer."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Transportlink"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/transportnetwerk#Transportobject, https://data.vlaanderen.be/ns/netwerk#Link"	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Transportlinksequentie"	"{E851EC33-E388-49b4-88F7-49D6ABD1B814}"	"Transportobject"	""	""	""	"Transportlinksequentie"	"Lineair ruimtelijk object, bestaande uit een geordende verzameling van Transportlinks, die een overtakt doorlopend pad in een transportnetwerk vertegenwoordigt."	""	"Transportlinksequentie"	"Lineair ruimtelijk object, bestaande uit een geordende verzameling van Transportlinks, die een overtakt doorlopend pad in een transportnetwerk vertegenwoordigt."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Transportlinksequentie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/transportnetwerk#Transportobject, https://data.vlaanderen.be/ns/netwerk#Linksequentie"	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Transportlinkset"	"{EA570B88-32D7-4a85-89D4-BD09A83D1EEC}"	"Transportobject"	""	""	""	"Transportllinkset"	"Collectie Linksequenties en/of Links met een specifieke functie of belang in het Transpotnetwerk."	""	"Transportllinkset"	"Collectie Linksequenties en/of Links met een specifieke functie of belang in het Transpotnetwerk."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Transportlinkset"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/transportnetwerk#Transportobject, https://data.vlaanderen.be/ns/netwerk#Linkset"	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Transportpunt"	"{20FCF24D-DFCC-4ef3-B181-E7282C4CC835}"	"Transportobject"	""	""	""	"Transportpunt"	"Puntvormig ruimtelijk object dat geen Knoop is en de positie aangeeft van een punt in het Netwerk."	"Bv een baken, een boei..."	"Transportpunt"	"Puntvormig ruimtelijk object dat geen Knoop is en de positie aangeeft van een punt in het Netwerk."	"Bv een baken, een boei..."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Transportpunt"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/transportnetwerk#Transportobject, https://data.vlaanderen.be/ns/netwerk#Netwerkelement"	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Afstandspaal"	"{8BDEC8AC-0DC8-4f32-8999-935FD177DAC3}"	"Transportpunt"	""	""	""	"Afstandspaal"	"Paaltje of gelijkaardig dat, meestal op regelmatige afstanden, de afstand tov het begin van een route of ander referentipunt aangeeft."	""	"Afstandspaal"	"Paaltje of gelijkaardig dat, meestal op regelmatige afstanden, de afstand tov het begin van een route of ander referentipunt aangeeft."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Afstandspaal"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/transportnetwerk#Transportpunt"	""	""
"CLASS"	"OSLO-Transportnetwerk"	"Transportnetwerk"	"{81D18215-661B-4b9a-B033-C91A2328EE03}"	""	""	""	""	"Transportnetwerk"	"Verzameling van Netwerkelementen die eenzelfde vervoerswijze vertegenwoordigen."	"De vervoerswijze is minimaal weg, spoor, lucht en water. Verdere opdeling in Transportnetwerken volgens vervoermiddel, aandrijftype, dienstverleningstype is mogelijk."	"Transportnetwerk"	"Verzameling van Netwerkelementen die eenzelfde vervoerswijze vertegenwoordigen."	"De vervoerswijze is minimaal weg, spoor, lucht en water. Verdere opdeling in Transportnetwerken volgens vervoermiddel, aandrijftype, dienstverleningstype is mogelijk."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/transportnetwerk#"	"Transportnetwerk"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/netwerk#Netwerk"	""	""
