"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Levenscyclus"	"{1F0280F9-7503-4329-A582-08602DAEF005}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer.data.vlaanderen.be/ns/"	"levenscyclus"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Levenscyclus"	"Openingsuren"	"{0EC49477-35EC-4040-8803-4E013661DCB8}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"Openingsuren"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Levenscyclus"	"Status"	"{B67E5510-24E5-4670-BFF1-4C8C43C55703}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"Status"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Levenscyclus"	"_Boomvorm_beheer"	"{BBF91BF0-3621-4cb5-9957-0C3974151DA0}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"_Boomvorm_beheer"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"attribute"	"OSLO-Levenscyclus"	"begindatum"	"{BFAD1084-4C8B-4611-9E40-5CCFAD6E85A7}"	""	"Openingsuren"	"{0EC49477-35EC-4040-8803-4E013661DCB8}"	"DateTime"	"begindatum"	""	""	"begindatum"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"openingsuren.begindatum"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#Openingsuren"	"http://www.w3.org/2001/XMLSchema#dateTime"	""	"1"	"1"
"attribute"	"OSLO-Levenscyclus"	"einddatum"	"{B53447C5-4697-4290-B392-3F27809E027C}"	""	"Openingsuren"	"{0EC49477-35EC-4040-8803-4E013661DCB8}"	"DateTime"	"einddatum"	""	""	"einddatum"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"openingsuren.einddatum"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#Openingsuren"	"http://www.w3.org/2001/XMLSchema#dateTime"	""	"1"	"1"
"attribute"	"OSLO-Levenscyclus"	"uitzonderingsdatum"	"{361EE414-F78D-424d-83B6-488B3934F61E}"	""	"Openingsuren"	"{0EC49477-35EC-4040-8803-4E013661DCB8}"	"DateTime"	"uitzonderingsdatum"	""	""	"uitzonderingsdatum"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"openingsuren.uitzonderingsdatum"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#Openingsuren"	"http://www.w3.org/2001/XMLSchema#dateTime"	""	"1"	"1"
"attribute"	"OSLO-Levenscyclus"	"startdatum"	"{E3A7728D-AAEC-4943-979E-C9044B6E26FF}"	""	"Status"	"{B67E5510-24E5-4670-BFF1-4C8C43C55703}"	"DateTime"	"startdatum"	""	""	"startdatum"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"status.startdatum"	"http://www.w3.org/2002/07/owl#DatatypeProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#Status"	"http://www.w3.org/2001/XMLSchema#dateTime"	""	"1"	"1"
"attribute"	"OSLO-Levenscyclus"	"status"	"{192493AD-379B-4c03-8AF4-267F3CF90505}"	""	"Status"	"{B67E5510-24E5-4670-BFF1-4C8C43C55703}"	"StatusType"	"status"	""	""	"status"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"status.status"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#Status"	"https://data.vlaanderen.be/ns/wegenenverkeer/onderdeel#StatusType"	""	"1"	"1"
"attribute"	"OSLO-Levenscyclus"	"adviesMaatregelBoomgebrek"	"{FFC2A7A0-8A03-43ee-AC11-80FEF97F2996}"	""	"_Boomvorm_beheer"	"{BBF91BF0-3621-4cb5-9957-0C3974151DA0}"	"AlgDocumenttype"	"adviesMaatregelBoomgebrek"	""	""	"adviesMaatregelBoomgebrek"	"TODO"	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#"	"_boomvorm_beheer.adviesmaatregelboomgebrek"	"http://www.w3.org/2002/07/owl#ObjectProperty"	"https://wegenenverkeer.data.vlaanderen.be/ns/levenscyclus#_Boomvorm_beheer"	"https://wegenenverkeer.data.vlaanderen.be/ns/implementatieelement#AlgDocumenttype"	""	"1"	"1"
