"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Proefenmeting"	"{77E135D6-1419-453f-8D52-952CBA34A05C}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/"	"proefenmeting"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefStroefheid"	"{5841805D-D6E7-4412-A034-3BEADAB3458B}"	""	""	""	""	"Proef stroefheid"	"Het vermogen van een wegdek om door voertuigbanden tangentieel uitgeoefende krachten (bij het nemen van bochten,afremmen of optrekken) te compenseren door even grote wrijvingskrachten."	""	"Proef stroefheid"	"Het vermogen van een wegdek om door voertuigbanden tangentieel uitgeoefende krachten (bij het nemen van bochten,afremmen of optrekken) te compenseren door even grote wrijvingskrachten."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefStroefheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefDraineervermogen"	"{5E058377-C500-42c4-B861-C206367F4380}"	""	""	""	""	"Proef draineervermogen"	"Controle van de waterdoorlatendheid van een open verharding."	""	"Proef draineervermogen"	"Controle van de waterdoorlatendheid van een open verharding."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefDraineervermogen"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefZichtbaarheidBijDagOfWV"	"{D70EF271-FA02-4c81-B1CF-DC130868DA10}"	""	""	""	""	"Proef zichtbaarheid bij dag of wegverlichting"	"Bepaling van de luminantiecoëfficiënt bij diffuse verlichting van een gemarkeerd oppervlak (Qd) bij daglicht of onder openbare verlichting."	""	"Proef zichtbaarheid bij dag of wegverlichting"	"Bepaling van de luminantiecoëfficiënt bij diffuse verlichting van een gemarkeerd oppervlak (Qd) bij daglicht of onder openbare verlichting."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefZichtbaarheidBijDagOfWV"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefDruksterkte"	"{6EAEF81D-D119-4daf-84E8-D8EBD6B197CA}"	""	""	""	""	"Proef druksterkte"	"De spanning waarbij het materiaal van de laag onder invloed van (druk)belasting bezwijkt."	""	"Proef druksterkte"	"De spanning waarbij het materiaal van de laag onder invloed van (druk)belasting bezwijkt."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefDruksterkte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefSchokindexMVP"	"{4FA601B7-AE2C-48bb-A088-C525AF41843C}"	""	""	""	""	"Proef schokindex motorvangplank"	"Proef voor de bepaling van de schokindex parameter van de motorvangplank."	""	"Proef schokindex motorvangplank"	"Proef voor de bepaling van de schokindex parameter van de motorvangplank."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefSchokindexMVP"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefGaafheid"	"{E7603A7B-6DCF-4dba-A048-886BA4FA9D97}"	""	""	""	""	"Proef gaafheid"	"Controle van het lijnvormig element op de ongeschondenheid,volledigheid en zuiverheid."	""	"Proef gaafheid"	"Controle van het lijnvormig element op de ongeschondenheid,volledigheid en zuiverheid."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefGaafheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefLuchtdichtheid"	"{4A924F29-03F6-4889-B4D0-A06C6039D6E8}"	""	""	""	""	"Proef luchtdichtheid"	"Testen van de drukval van het beproefde leidingsvak."	""	"Proef luchtdichtheid"	"Testen van de drukval van het beproefde leidingsvak."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefLuchtdichtheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefLuminantie"	"{5230387C-B0A6-4882-B657-20F53FDD70B4}"	""	""	""	""	"Proef luminantie"	"Bij gebrek aan Qd-meting kan de luminantiefactor ß van wegmarkeringen gebruikt worden om het contrast met het wegdek en bijgevolg de dagzichtbaarheid te bepalen."	""	"Proef luminantie"	"Bij gebrek aan Qd-meting kan de luminantiefactor ß van wegmarkeringen gebruikt worden om het contrast met het wegdek en bijgevolg de dagzichtbaarheid te bepalen."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefLuminantie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
"CLASS"	"OSLO-Proefenmeting"	"ProefDoorlatendheid"	"{71431722-A81A-4edf-B654-5AD344BC81DA}"	""	""	""	""	"Proef doorlatendheid"	"De controle van de doorlatendheid van het oppervlak met behulp van de dubbele ringmethode."	""	"Proef doorlatendheid"	"De controle van de doorlatendheid van het oppervlak met behulp van de dubbele ringmethode."	""	""	""	""	""	""	""	""	"false"	"https://wegenenverkeer-test.data.vlaanderen.be/ns/proefenmeting#"	"ProefDoorlatendheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://wegenenverkeer-test.data.vlaanderen.be/ns/abstracten#Proef"	""	""
