"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Generiek"	"{05FC3428-FAE8-4a48-B4EC-F27CC7624B45}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"generiek"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Tijdschema"	"{8FD5C7D7-00F7-4ca3-9D02-44312AFC042C}"	""	""	""	""	"Schema"	""	""	"Schema"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://schema.org/"	"Schedule"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Gebeurtenis"	"{5BDB7F7E-84D2-42f7-A05B-CE42F7427989}"	""	""	""	""	"Gebeurtenis"	""	""	"Gebeurtenis"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://schema.org/"	"Event"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Periode"	"{BCE826D2-B411-447d-AB09-27F14B044538}"	""	""	""	""	"Periode"	""	""	"Periode"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://data.europa.eu/m8g/"	"PeriodOfTime"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"StandaardEenheid"	"{7FAC79F2-A919-4506-BB8C-DF9D26AB2576}"	""	""	""	""	"Standaard Eenheid"	"Eenheid vastgelegd door een standaardiserende organisatie."	""	"Standaard Eenheid"	"Eenheid vastgelegd door een standaardiserende organisatie."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"StandaardEenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Getal"	"{0D450533-A58F-45c6-A478-A6C576CF99DB}"	""	""	""	""	"Getal"	""	""	"Getal"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://schema.org/"	"Number"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"KwantitatieveWaarde"	"{C9FE3383-C1C1-42a2-80AB-5E4A698A727F}"	""	""	""	""	"Kwantitatieve Waarde"	""	""	"Kwantitatieve Waarde"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://schema.org/"	"QuantitativeValue"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Gemeente"	"{5CE1CA66-F31D-426a-BB12-13F81DEC9980}"	""	""	""	""	"Gemeente"	"Officiële administratieve zone van het Belgisch grondgebied. De gemeente is het kleinste administratieve deel van het Belgisch grondgebied waarvan de grenzen enkel door de wetgever kunnen worden gewijzigd."	""	"Gemeente"	"Officiële administratieve zone van het Belgisch grondgebied. De gemeente is het kleinste administratieve deel van het Belgisch grondgebied waarvan de grenzen enkel door de wetgever kunnen worden gewijzigd."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"Gemeente"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"ENUMERATION"	"OSLO-Generiek"	"VerticaleReferentieWaarde"	"{0217459B-4F09-49b8-A7A3-DDDD242BDD18}"	""	""	""	""	""	"TODO"	"TODO"	"TODO"	"TODO"	"TODO"	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Generiek"	"HorizontaleReferentieWaarde"	"{134B9984-67A2-4b13-92EF-9F44EF76E136}"	""	""	""	""	""	"TODO"	"TODO"	"TODO"	"TODO"	"TODO"	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Activiteit"	"{75D63D8A-DAC6-4068-8F8A-044349D80299}"	""	""	""	""	"Activiteit"	"Handeling van bepaalde duur op of met entiteiten."	""	"Activiteit"	"Handeling van bepaalde duur op of met entiteiten."	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/prov#"	"Activity"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"VersieVolgensGeldigeTijd"	"{99B228B2-B5B2-4949-8E97-E8C4CD975BEC}"	"Versie"	""	""	""	"Versie volgens Geldige Tijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in de gemodelleerde werkelijkheid."	""	"Versie volgens Geldige Tijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in de gemodelleerde werkelijkheid."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"VersieVolgensGeldigeTijd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Versie"	""	""
"CLASS"	"OSLO-Generiek"	"Plaats"	"{B1E933D2-3FF9-4109-928A-16EDAE853ECA}"	""	""	""	""	"Locatie"	"Een ruimtelijk gebied of benoemde plaats."	""	"Locatie"	"Een ruimtelijk gebied of benoemde plaats."	""	""	""	""	""	""	""	""	"true"	"http://purl.org/dc/terms/"	"Location"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"AdministratieveEenheid"	"{7A48F2DE-9C2A-4364-A402-606A8E161E8F}"	"Plaats"	""	""	""	"Administratieve Eenheid"	"Bestuurlijke eenheid waar een lidstaat rechtsbevoegdheid heeft en/of uitoefent, in het kader van lokaal, regionaal of nationaal bestuur."	""	"Administratieve Eenheid"	"Bestuurlijke eenheid waar een lidstaat rechtsbevoegdheid heeft en/of uitoefent, in het kader van lokaal, regionaal of nationaal bestuur."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"AdministratieveEenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Location"	""	""
"DATATYPE"	"OSLO-Generiek"	"Locatie"	"{7F53603D-69FE-46bb-BDEE-43D84FC96086}"	""	""	""	""	"Locatie"	"Een locatie kan een identificeerbare geografische locatie zijn (ISO 19112), maar deze locatie kan ook een niet-geografische locatie zijn, zoals een directory, rij of kolom. Als zodanig zijn er talloze manieren waarop locatie kan worden uitgedrukt, zoals d"	""	"Locatie"	"Een locatie kan een identificeerbare geografische locatie zijn (ISO 19112), maar deze locatie kan ook een niet-geografische locatie zijn, zoals een directory, rij of kolom. Als zodanig zijn er talloze manieren waarop locatie kan worden uitgedrukt, zoals d"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/prov#"	"Location"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"DocumentOnderdeel"	"{B630D106-DE03-48e3-B61E-45694D9D3922}"	""	""	""	""	"Documentonderdeel"	"Een apart onderdeel van een groter document of verzameld document."	"Bv artikel, hoofdstuk, paragraaf..."	"Documentonderdeel"	"Een apart onderdeel van een groter document of verzameld document."	"Bv artikel, hoofdstuk, paragraaf..."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"DocumentOnderdeel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Document"	"{2DCD769E-5ADD-4437-91BC-ED7FB2002D91}"	""	""	""	""	"Document"	""	""	"Document"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://xmlns.com/foaf/0.1/"	"Document"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"GestructureerdeIdentificator"	"{5E547ECC-1CEF-44cf-9010-94ACD8B3EB7C}"	""	""	""	""	"Gestructureerde Identificator"	"Identificator van een object opgesplitst in zijn onderdelen."	""	"Gestructureerde Identificator"	"Identificator van een object opgesplitst in zijn onderdelen."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"GestructureerdeIdentificator"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Gebeurtenisdatum"	"{FA80B78F-8D8B-4ace-B4BF-D3A49CFB9898}"	""	""	""	""	"Gebeurtenisdatum"	"Datum waarop een gebeurtenis plaatsvond evt op een alternatieve manier beschreven. "	""	"Gebeurtenisdatum"	"Datum waarop een gebeurtenis plaatsvond evt op een alternatieve manier beschreven. "	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"Gebeurtenisdatum"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Lijnstring"	"{4566358D-4EFD-46f4-9BB8-E6C91229DCA4}"	"Geometrie"	""	""	""	"Lijnstring"	""	""	"Lijnstring"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.opengis.net/ont/sf#"	"LineString"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/locn#Geometry"	""	""
