"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Generiek"	"{5AF73DFD-4C42-4118-B0C3-4A69AF111ED2}"	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"generiek"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"DATATYPE"	"OSLO-Adres"	"Adresvoorstelling"	"{A33F391D-509F-4021-AC5D-5B418137915C}"	""	""	""	""	"Adresvoorstelling"	"Meer leesbare voorstelling met enkel de basisgegevens van het adres, bedoeld voor het gebruik van een adres als attribuut van een ander object."	"Bv als attribuut ve persoon of gebouw... De adresvoorstelling heeft niet enkel betrekking op Belgische adressen, ze kan gebruikt worden om buitenlandse adressen weer te geven (waar mogelijk andere adresaanduidingen dan huisnummer of busnummer worden gebruikt of waar adrescomponenten zoals adresgebieden voorkomen)."	"Adresvoorstelling"	"Meer leesbare voorstelling met enkel de basisgegevens van het adres, bedoeld voor het gebruik van een adres als attribuut van een ander object."	"Bv als attribuut ve persoon of gebouw... De adresvoorstelling heeft niet enkel betrekking op Belgische adressen, ze kan gebruikt worden om buitenlandse adressen weer te geven (waar mogelijk andere adresaanduidingen dan huisnummer of busnummer worden gebruikt of waar adrescomponenten zoals adresgebieden voorkomen)."	""	"true"	"http://www.w3.org/ns/locn#"	"Address"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"DocumentOnderdeel"	"{C6D9E2A7-DAB6-4217-84BA-807EDE345EB4}"	""	""	""	""	"Documentonderdeel"	"Een apart onderdeel van een groter document of verzameld document."	"Bv artikel,hoofdstuk,paragraaf..."	"Documentonderdeel"	"Een apart onderdeel van een groter document of verzameld document."	"Bv artikel,hoofdstuk,paragraaf..."	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"DocumentOnderdeel"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Document"	"{B5AB0B58-3F35-4472-B5DA-250F6F155B23}"	""	""	""	""	"Document"	"Een origineel werk in de brede zin (een verslag, een opname, een boek...)."	""	"Document"	"Een origineel werk in de brede zin (een verslag, een opname, een boek...)."	""	""	"true"	"http://xmlns.com/foaf/0.1/"	"Document"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Activiteit"	"{49DF50F7-F0F7-4b37-A9E7-E7D68ED88FE2}"	""	""	""	""	"Activiteit"	"Handeling van bepaalde duur op of met entiteiten."	""	"Activiteit"	"Handeling van bepaalde duur op of met entiteiten."	""	""	"true"	"http://www.w3.org/ns/prov#"	"Activity"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"VersieVolgensTransactietijd"	"{EA81A7A0-AF9D-493f-A172-3064104F079E}"	"Versie"	""	""	""	"Versie volgens Transactietijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in een databank."	""	"Versie volgens Transactietijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in een databank."	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"VersieVolgensTransactietijd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Versie"	""	""
"CLASS"	"OSLO-Generiek"	"VersieVolgensGeldigeTijd"	"{EE4EA1F1-DAAE-48d4-B531-FA88CB5C79FA}"	"Versie"	""	""	""	"Versie volgens Geldige Tijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in de gemodelleerde werkelijkheid."	""	"Versie volgens Geldige Tijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in de gemodelleerde werkelijkheid."	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"VersieVolgensGeldigeTijd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Versie"	""	""
"DATATYPE"	"OSLO-Generiek"	"Gebeurtenisdatum"	"{35000C8F-72A8-4f77-A48F-F5F1B945F400}"	""	""	""	""	"Gebeurtenisdatum"	"Datum waarop een gebeurtenis plaatsvond evt op een alternatieve manier beschreven."	""	"Gebeurtenisdatum"	"Datum waarop een gebeurtenis plaatsvond evt op een alternatieve manier beschreven."	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"Gebeurtenisdatum"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Locatie"	"{8C693D39-5FCD-4260-9A97-03C9C5011FEC}"	""	""	""	""	"Locatie"	"Aanduiding van een geografische positie, dmv coordinaten, een toponiem, een adreslabel, een verwijzing naar een plaats/regio of verwijzing naar een adres."	""	"Locatie"	"Aanduiding van een geografische positie, dmv coordinaten, een toponiem, een adreslabel, een verwijzing naar een plaats/regio of verwijzing naar een adres."	""	""	"true"	"http://www.w3.org/ns/prov#"	"Location"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Plaats"	"{6CB78726-ACEE-4897-9B2F-9FE763ADFB07}"	""	""	""	""	"Plaats"	"Een ruimtelijk gebied of benoemde plaats."	""	"Plaats"	"Een ruimtelijk gebied of benoemde plaats."	""	""	"true"	"http://purl.org/dc/terms/"	"Location"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"AdministratieveEenheid"	"{B77E517B-5EFB-48c2-8F8F-4B84B285035D}"	"Plaats"	""	""	""	"Administratieve Eenheid"	"Bestuurlijke eenheid waar een lidstaat rechtsbevoegdheid heeft en/of uitoefent, in het kader van lokaal, regionaal of nationaal bestuur."	""	"Administratieve Eenheid"	"Bestuurlijke eenheid waar een lidstaat rechtsbevoegdheid heeft en/of uitoefent, in het kader van lokaal, regionaal of nationaal bestuur."	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"AdministratieveEenheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://purl.org/dc/terms/Location"	""	""
"DATATYPE"	"OSLO-Generiek"	"GestructureerdeIdentificator"	"{69D5E626-3C87-47aa-BC3B-4C28A7F603BF}"	""	""	""	""	"Gestructureerde Identificator"	"Identificator van een object opgesplitst in zijn onderdelen."	""	"Gestructureerde Identificator"	"Identificator van een object opgesplitst in zijn onderdelen."	""	""	"false"	"https://data.vlaanderen.be/ns/generiek#"	"GestructureerdeIdentificator"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"LijnString"	"{B1054C9E-463B-43d0-91A8-2A867DDF0806}"	"Geometrie"	""	""	""	"Lijnstring"	"Curve met lineaire interpolatie tussen de punten. Elk opeenvolgend paar punten vormt een lijnsegment. De lijnstring heeft ten minste twee punten."	"Een curve is een 1-dimensioneel geometrisch object gedefinieerd als een sequentie van punten. De interpolatie kan op verschillende manieren gebeuren (bv lineair bij een lijnstring)."	"Lijnstring"	"Curve met lineaire interpolatie tussen de punten. Elk opeenvolgend paar punten vormt een lijnsegment. De lijnstring heeft ten minste twee punten."	"Een curve is een 1-dimensioneel geometrisch object gedefinieerd als een sequentie van punten. De interpolatie kan op verschillende manieren gebeuren (bv lineair bij een lijnstring)."	""	"true"	"http://www.opengis.net/ont/sf#"	"LineString"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/locn#Geometry"	""	""
"DATATYPE"	"OSLO-Generiek"	"Polygoon"	"{3135F5DE-4EED-4953-A83F-3FB6D76AEBDF}"	"Geometrie"	""	""	""	"Polygoon"	"Oppervlak bestaande uit 1 buitengrens en 0 of meer binnengrenzen. Elke binnengrens vormt een gat in de polygoon."	"De grenzen zijn zgn lineaire ringen, ttz het zijn gesloten (niet zelfsnijdende) lijnstringen. De buitengrens wordt onderscheiden vd binnengrens door resp de kloksgewijze en tegenkloksgewijze richting waarin de ring loopt."	"Polygoon"	"Oppervlak bestaande uit 1 buitengrens en 0 of meer binnengrenzen. Elke binnengrens vormt een gat in de polygoon."	"De grenzen zijn zgn lineaire ringen, ttz het zijn gesloten (niet zelfsnijdende) lijnstringen. De buitengrens wordt onderscheiden vd binnengrens door resp de kloksgewijze en tegenkloksgewijze richting waarin de ring loopt."	""	"true"	"http://www.opengis.net/ont/sf#"	"Polygon"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/locn#Geometry"	""	""
"DATATYPE"	"OSLO-Generiek"	"TaalString"	"{20EB8EC9-A2DC-4413-9605-C341BF6445DD}"	""	""	""	""	"Taalstring"	"Combinatie van een string en de taal waarin de inhoud ervan is gesteld."	"Bvb 'Rue Mercator' als string en 'fr' als taal."	"Taalstring"	"Combinatie van een string en de taal waarin de inhoud ervan is gesteld."	"Bvb 'Rue Mercator' als string en 'fr' als taal."	""	"true"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"	"langString"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Herkomstentiteit"	"{D42565B1-E1E1-46e4-B287-B86288512065}"	""	""	""	""	"Herkomstentiteit"	"Fysiek, digitaal, conceptueel of ander ding (echt of denkbeeldig) met bepaalde kenmerken."	""	"Herkomstentiteit"	"Fysiek, digitaal, conceptueel of ander ding (echt of denkbeeldig) met bepaalde kenmerken."	""	""	"true"	"http://www.w3.org/ns/prov#"	"Entity"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Opheffing"	"{0993AF47-CBEA-41a7-ADD1-941FBB213889}"	""	""	""	""	"Opheffing"	"Het starten vh vernietigen/beëindigen/uitdoven ve entiteit dmv een activiteit."	"De entiteit is daarna niet meer beschikbaar voor gebruik of kan daarna niet meer vervallen. Gebruik of creatie gaan aan opheffing vooraf."	"Opheffing"	"Het starten vh vernietigen/beëindigen/uitdoven ve entiteit dmv een activiteit."	"De entiteit is daarna niet meer beschikbaar voor gebruik of kan daarna niet meer vervallen. Gebruik of creatie gaan aan opheffing vooraf."	""	"true"	"http://www.w3.org/ns/prov#"	"Invalidation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"Creatie"	"{B4184D8B-7A80-400c-997F-FC39B70C6A48}"	""	""	""	""	"Creatie"	"Het voltooien vd productie ve nieuwe entiteit dmv een activiteit."	"De entiteit bestond niet voorafgaand aan de creatie en is daarna beschikbaar voor gebruik."	"Creatie"	"Het voltooien vd productie ve nieuwe entiteit dmv een activiteit."	"De entiteit bestond niet voorafgaand aan de creatie en is daarna beschikbaar voor gebruik."	""	"true"	"http://www.w3.org/ns/prov#"	"Generation"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Jurisdictie"	"{75251336-64B3-4475-908F-E6E65E84292D}"	""	""	""	""	"Jurisdictie"	"Het gebied waarover de rechtsmacht van een overheid zich uitstrekt."	"Doorgaans een land of deelstaat."	"Jurisdictie"	"Het gebied waarover de rechtsmacht van een overheid zich uitstrekt."	"Doorgaans een land of deelstaat."	""	"true"	"http://purl.org/dc/terms/"	"Jurisdiction"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
