"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Mandaat"	"{AC967309-F1C0-4620-B4EE-F39F1FC3ADC4}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"http://data.vlaanderen.be/ns/"	"mandaat"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Object"	"{9D971D20-1AD5-47f5-B100-B510C218BB50}"	""	""	""	""	"Entiteit"	""	""	"Entiteit"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/prov#"	"Entity"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Generiek"	"Versie"	"{ECA19CB0-EE89-4e68-9D19-9FB9DB9EDC56}"	"Object"	""	""	""	"Versie"	"Stelt een entiteit voor in één specifieke periode."	""	"Versie"	"Stelt een entiteit voor in één specifieke periode."	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"Versie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity"	""	""
"CLASS"	"OSLO-Generiek"	"VersieVolgensGeldigeTijd"	"{99B228B2-B5B2-4949-8E97-E8C4CD975BEC}"	"Versie"	""	""	""	"Versie volgens Geldige Tijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in de gemodelleerde werkelijkheid."	""	"Versie volgens Geldige Tijd"	"De versie stelt de entiteit voor gedurende een bepaalde periode in de gemodelleerde werkelijkheid."	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"VersieVolgensGeldigeTijd"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#Versie"	""	""
"CLASS"	"OSLO-Persoon"	"Geboorte"	"{323F5568-1A43-4458-8334-CC4230422019}"	""	""	""	""	"Geboorte"	"Het ter wereld komen vd persoon."	" "	"Geboorte"	"Het ter wereld komen vd persoon."	" "	""	""	""	"http://purl.org/vocab/bio/0.1/Birth"	""	""	""	"true"	"https://data.vlaanderen.be/ns/persoon#"	"Geboorte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/persoon#Persoonsgebeurtenis"	""	""
"CLASS"	"OSLO-Persoon"	"Persoon"	"{F661E6B7-18A6-436f-99D4-60642CA5C274}"	""	""	""	""	"Persoon"	""	""	"Persoon"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/person#"	"Person"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity, http://purl.org/dc/terms/Agent"	""	""
"CLASS"	"OSLO-Wetgeving"	"Rechtsgrond"	"{FB821B56-20B4-47ed-9CEC-18B0B7D2EF86}"	""	""	""	""	"Rechtsgrond"	""	""	"Rechtsgrond"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalResource"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/wetgeving#UnieRGLV"	""	""
"CLASS"	"OSLO-Mandaat"	"Bestuursorgaan (in bestuursperiode)"	"{BAAB5E1E-C525-4486-A518-CC74670642E8}"	"VersieVolgensGeldigeTijd"	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://data.vlaanderen.be/ns/besluit#"	"Bestuursorgaan"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/generiek#VersieVolgensGeldigeTijd"	""	""
"CLASS"	"OSLO-Mandaat"	"RechtsgrondBeeindiging"	"{46E7BAFB-B546-4e95-948C-17888F1397EF}"	"Rechtsgrond"	""	""	""	"Rechtsgrond Beëindiging"	"De regelgeving, rechtshandeling en/of beleidskeuze waardoor de invulling van één of meerdere mandaten door een persoon vanaf een bepaalde datum (tijdelijk) beëindigd wordt."	""	"Rechtsgrond Beëindiging"	"De regelgeving, rechtshandeling en/of beleidskeuze waardoor de invulling van één of meerdere mandaten door een persoon vanaf een bepaalde datum (tijdelijk) beëindigd wordt."	""	"Legal Resource Dismissal"	"The regulations, legal act and/or policy choice which (temporarily) dismisses one or more mandates of a person starting from a specific date."	""	""	""	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"RechtsgrondBeeindiging"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/eli/ontology#LegalResource, http://purl.org/vocab/cpsv#FormalFramework"	""	""
"CLASS"	"OSLO-Mandaat"	"RechtsgrondAanstelling"	"{87CEF932-6BE0-4fcb-B67C-3EF5361DDAC7}"	"Rechtsgrond"	""	""	""	"Rechtsgrond Aanstelling"	"De regelgeving, rechtshandeling en/of beleidskeuze waardoor de invulling van een of meerdere mandaten door een persoon vanaf een bepaalde datum (tijdelijk) start."	""	"Rechtsgrond Aanstelling"	"De regelgeving, rechtshandeling en/of beleidskeuze waardoor de invulling van een of meerdere mandaten door een persoon vanaf een bepaalde datum (tijdelijk) start."	""	"Legal Resource Appointment"	"The regulations, legal act and/or policy choice which (temporarily) appoints one or more mandates to a person starting from a specific date."	""	""	""	""	""	"false"	"http://data.vlaanderen.be/ns/mandaat#"	"RechtsgrondAanstelling"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://data.europa.eu/eli/ontology#LegalResource, http://purl.org/vocab/cpsv#FormalFramework"	""	""
