"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Persoon"	"{E4E5909C-0D73-44ae-943F-23033E3A1D43}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"persoon"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Persoon"	"GeregistreerdPersoon"	"{89CD3774-1771-4d42-B670-24B57DA6538B}"	"Persoon"	""	""	""	"Geregistreerd Persoon"	"Persoon waarvan de gegevens zijn ingeschreven in een register."	"Doorgaans is dit register een bevolkingsregister maar het kan bv ook een kiesregister zijn. De ingeschreven gegevens hebben betrekking op de identeit (vb Naam en Voornaam) en de Verblijfplaats vd Persoon en op belangrijke levensgebeurtenissen zoals Geboorte, Huwelijk, Overlijden etc. Deze gegevens worden typisch geregistreerd door de overheid, ze bieden de ingeschreven Persoon wettelijke bescherming en laten de overheid toe om basisstatistieken op te stellen over zijn bevolking."	"Geregistreerd Persoon"	"Persoon waarvan de gegevens zijn ingeschreven in een register."	"Doorgaans is dit register een bevolkingsregister maar het kan bv ook een kiesregister zijn. De ingeschreven gegevens hebben betrekking op de identeit (vb Naam en Voornaam) en de Verblijfplaats vd Persoon en op belangrijke levensgebeurtenissen zoals Geboorte, Huwelijk, Overlijden etc. Deze gegevens worden typisch geregistreerd door de overheid, ze bieden de ingeschreven Persoon wettelijke bescherming en laten de overheid toe om basisstatistieken op te stellen over zijn bevolking."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/persoon#"	"GeregistreerdPersoon"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/person#Person"	""	""
"ENUMERATION"	"OSLO-Persoon"	"BurgerlijkeStaatType"	"{20471FA5-A540-45ba-AED3-8F17E39ECFE2}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Persoon"	"Gezinsrelatietype"	"{2647E2CA-DF10-4c34-9673-56BDDDBCDAF6}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Persoon"	"Afstammingstype"	"{1E755D4A-BF98-434e-AC11-68C87561CFE1}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Persoon"	"Persoonsgebeurtenis"	"{DAEDA5F0-3FF3-4919-9B55-8E083E9EFA8C}"	""	""	""	""	"Persoonsgebeurtenis"	"Belangrijke gebeurtenis ih leven ve persoon."	" "	"Persoonsgebeurtenis"	"Belangrijke gebeurtenis ih leven ve persoon."	" "	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/persoon#"	"Persoonsgebeurtenis"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Organisatie"	"Organisatie"	"{97967501-FF7A-42c9-A4BF-951FE4EE92BC}"	""	""	""	""	"Organisatie"	""	""	"Organisatie"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/org#"	"Organization"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"http://www.w3.org/ns/prov#Entity, http://purl.org/dc/terms/Agent"	""	""
"ENUMERATION"	"OSLO-Persoon"	"Geslacht"	"{E91788C6-E856-4d29-9957-DC8413B1CA17}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Generiek"	"GeografischeNaam"	"{B899427A-8A87-4a36-A9C9-E8DEB0B2E2C1}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"	"langString"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Persoon"	"Gezinsrelatie"	"{A71C2E7C-C33B-49ca-9378-35FB5A7F4371}"	"Persoonsrelatie"	""	""	""	"Gezinsrelatie"	"Relatie tussen leden van eenzelfde gezin."	"Bv echtgenoot, zoon, schoonmoeder."	"Gezinsrelatie"	"Relatie tussen leden van eenzelfde gezin."	"Bv echtgenoot, zoon, schoonmoeder."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/persoon#"	"Gezinsrelatie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/persoon#Persoonsrelatie"	""	""
