"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"label"	"definition"	"usage"	"label-nl"	"definition-nl"	"usageNote-nl"	"label-en"	"definition-en"	"usageNote-en"	"equivalent"	"subclass"	"subclass1"	"sameAs"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Weg"	"{D559DB61-14D4-4b02-9DEF-9FEE97ECC336}"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"weg"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"CLASS"	"OSLO-Weg"	"PositieInSequentie"	"{1B3474CD-3EDA-4629-B99D-2EAF25416948}"	""	""	""	""	"Positie in sequentie"	"Positie van het Wegsegment in de TransportLinkSequentie"	""	"Positie in sequentie"	"Positie van het Wegsegment in de TransportLinkSequentie"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"PositieInSequentie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Weg"	"TransportLinkSequentie"	"{AE6387E5-3ED9-4c6a-92E1-358C850E70B7}"	"NetwerkElement"	""	""	""	"Transport Link Sequentie"	"Een deel van een TransportLinkSet, samengesteld uit een geordende verzameling van wegsegmenten, dat een ononderbroken pad in het transportnetwerk "	" "	"Transport Link Sequentie"	"Een deel van een TransportLinkSet, samengesteld uit een geordende verzameling van wegsegmenten, dat een ononderbroken pad in het transportnetwerk "	" "	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"TransportLinkSequentie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/weg#NetwerkElement"	""	""
"CLASS"	"OSLO-Weg"	"NationaleWeg"	"{62552C71-A7E8-42c4-863F-876AD11616EC}"	"Weg"	""	""	""	"Nationale Weg"	"Een nationale weg is een weg, veelal van bovenlokaal belang, die voorzien is van een vereenvoudigd administratief nummer"	" "	"Nationale Weg"	"Een nationale weg is een weg, veelal van bovenlokaal belang, die voorzien is van een vereenvoudigd administratief nummer"	" "	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"NationaleWeg"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/weg#Weg"	""	""
"DATATYPE"	"OSLO-Weg"	"GestructureerdeIdentificator"	"{75EAA3A3-1B91-4824-82BB-4637E75B1E21}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"https://data.vlaanderen.be/ns/generiek#"	"GestructureerdeIdentificator"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Weg"	"Identificator"	"{AC7867D1-1539-4c27-9553-B4A71B868AE6}"	""	""	""	""	"Identificator"	""	""	"Identificator"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/ns/adms#"	"Identifier"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Weg"	"MorfologieTypeWaarde"	"{16A8DEF8-3CB8-4841-A117-58854EE739A1}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Weg"	"Wegverharding"	"{54607BD0-897F-4cb8-81B5-2FE731CF9167}"	""	""	""	""	"Wegverharding"	"Geeft aan of het wegsegment al dan niet verhard is"	""	"Wegverharding"	"Geeft aan of het wegsegment al dan niet verhard is"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"Wegverharding"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Weg"	"OmgevingsWaarde"	"{4934E801-89DA-46ba-A2CE-2503A03BC29E}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Weg"	"SnelheidslimietBronWaarde"	"{F2EE2D66-291A-4a66-A73F-ED33918CE94C}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Weg"	"Gewicht"	"{40A26A5E-BD5C-4d67-A055-0D8739F6FDE2}"	"Meting"	""	""	""	"Gewicht"	"Het gewicht van een voorwerp is de kracht die dat voorwerp, als gevolg van de zwaartekracht, op zijn ondersteuning of ophanging uitoefent."	""	"Gewicht"	"Het gewicht van een voorwerp is de kracht die dat voorwerp, als gevolg van de zwaartekracht, op zijn ondersteuning of ophanging uitoefent."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"Gewicht"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/weg#Meting"	""	""
"DATATYPE"	"OSLO-Weg"	"Snelheid"	"{5CDF9164-DF48-4fd9-ACBC-6A73F50DB638}"	"Meting"	""	""	""	"Snelheid"	"De mate van beweging in termen van snelheid in een bepaalde richting. Het wordt meestal berekend met behulp van de eenvoudige formule, de verandering in positie gedurende een bepaald tijdsinterval."	""	"Snelheid"	"De mate van beweging in termen van snelheid in een bepaalde richting. Het wordt meestal berekend met behulp van de eenvoudige formule, de verandering in positie gedurende een bepaald tijdsinterval."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"Snelheid"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/weg#Meting"	""	""
"ENUMERATION"	"OSLO-Weg"	"BeperkingsTypeWaarde"	"{F8053C92-B023-4fb4-8705-0AB00FF0A113}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Weg"	"Tijdsinterval"	"{6B9FDB8E-CCE7-4983-BFA6-188544DE76A2}"	""	""	""	""	"TijdsInterval"	""	""	"TijdsInterval"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://purl.org/dc/terms/"	"PeriodOfTime"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Weg"	"VoertuigTypeWaarde"	"{E997D20E-F033-4c45-BBA0-792748CA0D49}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Weg"	"Snelheidsbeperking"	"{4D22675E-6310-4487-A210-A196AAAD3D94}"	""	""	""	""	"Snelheidsbeperking"	"Beperking voor de snelheid van een voertuig op een wegsegment"	""	"Snelheidsbeperking"	"Beperking voor de snelheid van een voertuig op een wegsegment"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"Snelheidsbeperking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Weg"	"Lengte"	"{7DBBD2F5-F77B-494d-8B74-C4E1BDAF0B65}"	"Meting"	""	""	""	"Lengte"	"De maat van de afstand als een integraal, d.w.z. de grens van een oneindige som van afstanden tussen punten op een kromme. Bijvoorbeeld de lengte van de curve, de omtrek van een polygoon als de lengte van de grens."	""	"Lengte"	"De maat van de afstand als een integraal, d.w.z. de grens van een oneindige som van afstanden tussen punten op een kromme. Bijvoorbeeld de lengte van de curve, de omtrek van een polygoon als de lengte van de grens."	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"Lengte"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/weg#Meting"	""	""
"DATATYPE"	"OSLO-Weg"	"Voertuigbeperking"	"{6D6272EC-AA91-4d6f-AC0A-805362017230}"	""	""	""	""	"Voertuigbeperking"	"Beperking op voertuigen toegelaten op een wegsegment"	""	"Voertuigbeperking"	"Beperking op voertuigen toegelaten op een wegsegment"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"Voertuigbeperking"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"DATATYPE"	"OSLO-Weg"	"Rijrichting"	"{9ADF34D5-C45A-4f2a-978A-321CFF5C829F}"	""	""	""	""	"Rijrichting"	"Geeft de richting van de verkeersstroom aan in relatie tot de logische richting van het wegsegment."	"De logische richting wordt bepaald adhv de begin- en eindknoop. Men kijkt steeds van begin- naar eindknoop. Dit komt niet altijd overeen met de digitalisatiezin van het wegsegment."	"Rijrichting"	"Geeft de richting van de verkeersstroom aan in relatie tot de logische richting van het wegsegment."	"De logische richting wordt bepaald adhv de begin- en eindknoop. Men kijkt steeds van begin- naar eindknoop. Dit komt niet altijd overeen met de digitalisatiezin van het wegsegment."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"Rijrichting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Weg"	"Positie"	"{B2BA67C0-0783-4a8e-89C8-9C54CB468569}"	""	""	""	""	"Positie"	"Positie van het Wegsegment in de TransportlinkSet"	""	"Positie"	"Positie van het Wegsegment in de TransportlinkSet"	""	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"Positie"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Weg"	"TransportLinkSet"	"{5393B574-3EC6-4cfc-BC7F-314C00CF5177}"	"NetwerkElement"	""	""	""	"Transport Link Set"	"Een verzameling transportlinksequenties en/of individuele transportlinks die een specifieke functie of betekenis hebben in een transportnetwerk."	"De klasse TransportLinkSet is een abstracte klasse. In praktijk zullen de subklassen EuropeseWeg, NationaleWeg en GenummerdeWeg voorkomen voor instanties van TransportLinkSet."	"Transport Link Set"	"Een verzameling transportlinksequenties en/of individuele transportlinks die een specifieke functie of betekenis hebben in een transportnetwerk."	"De klasse TransportLinkSet is een abstracte klasse. In praktijk zullen de subklassen EuropeseWeg, NationaleWeg en GenummerdeWeg voorkomen voor instanties van TransportLinkSet."	""	""	""	""	""	""	""	"false"	"https://data.vlaanderen.be/ns/weg#"	"TransportLinkSet"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	"https://data.vlaanderen.be/ns/weg#NetwerkElement"	""	""
"ENUMERATION"	"OSLO-Weg"	"MeeteenheidWaarde"	"{FCF20DE3-1175-49b0-A0BA-6BF352351902}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Weg"	"ReferentiepuntTypeWaarde"	"{1590F799-DE47-4a32-ACF4-99E825E1D23F}"	""	""	""	""	""	""	""	"TODO"	"TODO"	""	""	""	""	""	""	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
